# artifact: hven IPQP E1 acceptance arm (M6 W1 T10, spec section 8 A4/Q4/A13/A14)
# producer: bench/ipqp_e1_arm.cpp (hven_sqp_ipqp_e1_arm)
# git describe: a142a1380890-dirty
# mode: sweep
# date (UTC): 2026-09-01T13:41:48Z
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# cell recipe: docs/notes/data/2026-08-m6-e1-acquisition/generator/e1_generate.cpp
# PIQP: NEVER run, linked or read as source here; its committed CSVs are the
#       oracle this arm is compared against (CLAUDE.md section 6).
# ipqp_init_mu: 1.000000e-01
# ipqp_hard_iter_cap: 60
# ipqp_converge_slack: 1.000000e+02
# wall_s is INFORMATIONAL (CLAUDE.md section 7).
id,layout,n,me,mi,active_fraction,margin_class,status,active_true,active_found,misclassified,uncertain,rule_a,rule_b,rule_a_missed,rule_a_false_positive,res_primal,res_dual,res_comp,x_err_inf,wall_s,ipqp_iters,ipqp_factorizations,ipqp_symbolic_analyses,ipqp_solves,ipqp_pattern_verifies,ipqp_rho_demanded_max,ipqp_rho_demanded_last,ipqp_inertia_retries,ipqp_iters_at_elevated_rho,ipqp_ladder_reclimbs,ipqp_pivot_reroute_primal,ipqp_pivot_reroute_dual_fallback,ipqp_iters_ladder_armed_no_advance,ipqp_final_inertia_read,ipqp_reg_decreases,ipqp_reg_increases,ipqp_prox_center_updates,ipqp_restart_repairs,ipqp_restart_shift_max,ipqp_mu_adopted,ipqp_warm_restart_abandoned,ipqp_declined_pinned,ipqp_tier_retired_after,ipqp_face_uncertain,ipqp_refine_accepted,ipqp_refine_refused,ipqp_to_refine,ipqp_to_ssn,ipqp_to_walk,ipqp_escapes,ipqp_escape_budget,ipqp_escape_stall,ipqp_escape_indefinite,ipqp_escape_numerical,ipqp_escape_infeasible_suspect,ipqp_alpha_p_min,ipqp_alpha_d_min,ipqp_read_kept_tight_sides,ipqp_read_barrier_noise_sides
e1_f7_n20000_af01_m1e-4,scattered,100000,60000,20000,1.000000e-02,1.000000e-04,optimal,200,203,3,6717,197,4938,3,0,3.174123e-09,5.440746e-09,5.570560e-11,2.749942e-04,5.397923e+00,51,52,1,102,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,6717,0,0,0,0,0,0,0,0,0,0,0,6.268119e-02,1.017722e-02,0,0
e1_f7_n20000_af01_m1e-6,scattered,100000,60000,20000,1.000000e-02,1.000000e-06,max_iter,200,11326,11128,8579,5259,19999,43,5102,1.352423e-04,1.096360e-04,2.032038e-08,3.971256e-01,6.144288e+00,60,60,1,120,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,4,0,4,0,0.000000e+00,0,0,0,0,8579,0,0,0,0,0,1,1,0,0,0,0,3.922798e-02,4.858312e-04,0,0
e1_f7_n20000_af10_m1e-2,scattered,100000,60000,20000,1.000000e-01,1.000000e-02,optimal,2000,2000,0,0,1688,2000,312,0,1.746169e-08,1.649376e-09,1.064420e-12,2.894598e-03,5.856345e+00,56,57,1,112,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.625095e-02,5.551900e-04,0,0
e1_f7_n20000_af10_m1e-4,scattered,100000,60000,20000,1.000000e-01,1.000000e-04,optimal,2000,2002,2,5181,2000,4694,0,0,5.818285e-10,1.188973e-09,2.458232e-11,1.433860e-03,4.990795e+00,47,48,1,94,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,9,0,9,0,0.000000e+00,0,0,0,0,5181,0,0,0,0,0,0,0,0,0,0,0,4.602574e-02,3.392271e-03,0,0
e1_f7_n20000_af10_m1e-6,scattered,100000,60000,20000,1.000000e-01,1.000000e-06,max_iter,2000,16692,14692,3308,9040,20000,108,7148,2.438072e-05,5.946335e-05,1.644988e-08,4.489576e-01,6.134276e+00,60,60,1,120,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,5,0,5,0,0.000000e+00,0,0,0,0,3308,0,0,0,0,0,1,1,0,0,0,0,8.216587e-02,1.324731e-03,0,0
e1_f7_n20000_af30_m1e-2,scattered,100000,60000,20000,3.000000e-01,1.000000e-02,optimal,6000,6000,0,0,4253,6000,1747,0,2.736452e-08,2.236130e-09,1.000207e-12,5.272127e-03,5.216879e+00,49,50,1,98,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.028762e-01,3.216908e-03,0,0
e1_f7_n20000_af30_m1e-4,scattered,100000,60000,20000,3.000000e-01,1.000000e-04,optimal,6000,6006,6,4836,4211,9508,1789,0,2.426250e-08,2.383397e-09,6.048536e-11,6.168588e-03,6.063284e+00,58,59,1,116,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,4836,0,0,0,0,0,0,0,0,0,0,0,5.693875e-02,1.416554e-03,0,0
e1_f7_n20000_af30_m1e-6,scattered,100000,60000,20000,3.000000e-01,1.000000e-06,max_iter,6000,17893,11893,2107,11417,20000,253,5670,1.480437e-05,3.732255e-05,2.707413e-08,8.046032e-01,6.125363e+00,60,60,1,120,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,6,0,6,0,0.000000e+00,0,0,0,0,2107,0,0,0,0,0,1,1,0,0,0,0,6.809763e-02,1.959037e-03,0,0
e1_anchor_f7_n20000_bound_neutral,anchor,100000,60000,20000,0.000000e+00,-1.000000e+00,optimal,0,0,0,0,0,0,0,0,7.551989e-09,4.200995e-08,9.930499e-13,-1.000000e+00,1.221340e+00,10,11,1,20,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,7,0,7,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000e+00,9.930128e-01,0,0
e1_anchor_f7_n20000_path_neutral,anchor,100000,60000,20000,0.000000e+00,-1.000000e+00,optimal,0,0,0,0,0,0,0,0,8.795637e-09,6.222839e-08,9.889554e-13,-1.000000e+00,1.298804e+00,11,12,1,22,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,7,0,7,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000e+00,9.929984e-01,0,0
e1blk_f7_n20000_af01_m1e-2,contiguous,100000,60000,20000,1.000000e-02,1.000000e-02,max_iter,200,205,5,6,103,210,97,0,2.479107e-06,1.270804e-05,1.813770e-11,1.414812e-01,6.136196e+00,60,60,1,120,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,6,0,6,0,0.000000e+00,0,0,0,0,6,0,0,0,0,0,1,1,0,0,0,0,4.305263e-03,3.555850e-05,0,0
e1blk_f7_n20000_af01_m1e-4,contiguous,100000,60000,20000,1.000000e-02,1.000000e-04,max_iter,200,251,51,165,149,254,94,43,1.518147e-05,1.879918e-05,2.038856e-12,3.058870e-01,6.154860e+00,60,60,1,120,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,5,0,5,0,0.000000e+00,0,0,0,0,165,0,0,0,0,0,1,1,0,0,0,0,1.184263e-02,1.249210e-04,0,0
e1blk_f7_n20000_af01_m1e-6,contiguous,100000,60000,20000,1.000000e-02,1.000000e-06,optimal,200,204,4,3215,120,266,80,0,1.241790e-08,2.798332e-09,9.845711e-13,6.037646e-03,5.845157e+00,56,57,1,112,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,3215,0,0,0,0,0,0,0,0,0,0,0,1.257433e-01,1.749633e-04,0,0
e1blk_f7_n20000_af10_m1e-2,contiguous,100000,60000,20000,1.000000e-01,1.000000e-02,max_iter,2000,2000,0,9,978,2008,1022,0,2.678802e-06,2.326414e-06,1.828966e-10,1.385310e-01,6.125792e+00,60,60,1,120,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,6,0,6,0,0.000000e+00,0,0,0,0,9,0,0,0,0,0,1,1,0,0,0,0,2.557318e-02,2.812297e-03,0,0
e1blk_f7_n20000_af10_m1e-4,contiguous,100000,60000,20000,1.000000e-01,1.000000e-04,max_iter,2000,2025,25,809,970,2763,1031,1,1.377495e-05,2.489456e-05,6.632358e-10,4.106778e-01,6.116430e+00,60,60,1,120,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,5,0,5,0,0.000000e+00,0,0,0,0,809,0,0,0,0,0,1,1,0,0,0,0,2.100136e-03,1.837041e-03,0,0
e1blk_f7_n20000_af10_m1e-6,contiguous,100000,60000,20000,1.000000e-01,1.000000e-06,max_iter,2000,2069,69,635,1036,2184,1010,46,9.379940e-06,2.421842e-05,3.070875e-12,3.915164e-01,6.132390e+00,60,60,1,120,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,5,0,5,0,0.000000e+00,0,0,0,0,635,0,0,0,0,0,1,1,0,0,0,0,6.314156e-03,4.320210e-06,0,0
e1blk_f7_n20000_af30_m1e-2,contiguous,100000,60000,20000,3.000000e-01,1.000000e-02,optimal,6000,6000,0,0,3464,6000,2536,0,2.391736e-08,2.278825e-09,1.000044e-12,8.290494e-03,4.677942e+00,44,45,1,88,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.974392e-02,2.261732e-04,0,0
e1blk_f7_n20000_af30_m1e-4,contiguous,100000,60000,20000,3.000000e-01,1.000000e-04,optimal,6000,6001,1,2380,5590,9122,410,0,2.070757e-09,2.006125e-08,1.138650e-10,3.067690e-03,3.495426e+00,32,33,1,64,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,9,0,9,0,0.000000e+00,0,0,0,0,2380,0,0,0,0,0,0,0,0,0,0,0,2.963828e-01,6.964996e-02,0,0
e1blk_f7_n20000_af30_m1e-6,contiguous,100000,60000,20000,3.000000e-01,1.000000e-06,optimal,6000,6008,8,5683,3503,6170,2497,0,2.259865e-08,6.723962e-09,1.706684e-12,7.466383e-03,6.018688e+00,58,59,1,116,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,5683,0,0,0,0,0,0,0,0,0,0,0,9.340105e-02,1.280805e-04,0,0
