# artifact: hven IPQP E1 acceptance arm (M6 W1 T10, spec section 8 A4/Q4/A13/A14)
# producer: bench/ipqp_e1_arm.cpp (hven_sqp_ipqp_e1_arm)
# git describe: a142a1380890-dirty
# mode: sweep
# date (UTC): 2026-09-01T14:12:09Z
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# cell recipe: docs/notes/data/2026-08-m6-e1-acquisition/generator/e1_generate.cpp
# PIQP: NEVER run, linked or read as source here; its committed CSVs are the
#       oracle this arm is compared against (CLAUDE.md section 6).
# ipqp_init_mu: 1.000000e-02
# ipqp_hard_iter_cap: 60
# ipqp_converge_slack: 1.000000e+00
# wall_s is INFORMATIONAL (CLAUDE.md section 7).
id,layout,n,me,mi,active_fraction,margin_class,status,active_true,active_found,misclassified,uncertain,rule_a,rule_b,rule_a_missed,rule_a_false_positive,res_primal,res_dual,res_comp,x_err_inf,wall_s,ipqp_iters,ipqp_factorizations,ipqp_symbolic_analyses,ipqp_solves,ipqp_pattern_verifies,ipqp_rho_demanded_max,ipqp_rho_demanded_last,ipqp_inertia_retries,ipqp_iters_at_elevated_rho,ipqp_ladder_reclimbs,ipqp_pivot_reroute_primal,ipqp_pivot_reroute_dual_fallback,ipqp_iters_ladder_armed_no_advance,ipqp_final_inertia_read,ipqp_reg_decreases,ipqp_reg_increases,ipqp_prox_center_updates,ipqp_restart_repairs,ipqp_restart_shift_max,ipqp_mu_adopted,ipqp_warm_restart_abandoned,ipqp_declined_pinned,ipqp_tier_retired_after,ipqp_face_uncertain,ipqp_refine_accepted,ipqp_refine_refused,ipqp_to_refine,ipqp_to_ssn,ipqp_to_walk,ipqp_escapes,ipqp_escape_budget,ipqp_escape_stall,ipqp_escape_indefinite,ipqp_escape_numerical,ipqp_escape_infeasible_suspect,ipqp_alpha_p_min,ipqp_alpha_d_min,ipqp_read_kept_tight_sides,ipqp_read_barrier_noise_sides
e1_f7_n20000_af01_m1e-4,scattered,100000,60000,20000,1.000000e-02,1.000000e-04,optimal,200,200,0,1107,200,207,0,0,1.754152e-14,5.388900e-11,1.004643e-12,7.210911e-06,3.622754e+00,33,34,1,66,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,11,0,0.000000e+00,0,0,0,0,1107,0,0,0,0,0,0,0,0,0,0,0,1.111974e-01,7.110088e-03,0,0
e1_f7_n20000_af01_m1e-6,scattered,100000,60000,20000,1.000000e-02,1.000000e-06,optimal,200,1523,1323,12797,200,7734,0,0,1.074141e-13,2.929645e-11,1.183729e-12,3.013936e-04,3.529681e+00,32,33,1,64,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,14,0,0.000000e+00,0,0,0,0,12797,0,0,0,0,0,0,0,0,0,0,0,4.773815e-02,1.277305e-03,0,0
e1_f7_n20000_af10_m1e-2,scattered,100000,60000,20000,1.000000e-01,1.000000e-02,optimal,2000,2000,0,0,2000,2000,0,0,2.385481e-12,2.727383e-10,1.213411e-12,6.512177e-06,2.839777e+00,25,26,1,50,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,11,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.007294e-01,5.154815e-02,0,0
e1_f7_n20000_af10_m1e-4,scattered,100000,60000,20000,1.000000e-01,1.000000e-04,optimal,2000,2002,2,1611,1999,2113,1,0,1.123038e-10,7.490276e-10,3.570235e-12,3.823888e-04,2.655090e+00,23,24,1,46,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,10,0,10,0,0.000000e+00,0,0,0,0,1611,0,0,0,0,0,0,0,0,0,0,0,3.678718e-01,1.479838e-01,0,0
e1_f7_n20000_af10_m1e-6,scattered,100000,60000,20000,1.000000e-01,1.000000e-06,optimal,2000,5546,3546,10397,2000,10172,0,0,2.707612e-12,1.365580e-09,2.955564e-12,1.310139e-03,3.234799e+00,29,30,1,58,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,13,0,0.000000e+00,0,0,0,0,10397,0,0,0,0,0,0,0,0,0,0,0,7.848542e-02,5.645422e-03,0,0
e1_f7_n20000_af30_m1e-2,scattered,100000,60000,20000,3.000000e-01,1.000000e-02,optimal,6000,6000,0,0,6000,6000,0,0,2.967626e-13,7.648337e-11,1.038102e-12,1.738359e-06,2.369544e+00,20,21,1,40,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,11,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.431051e-01,3.166912e-02,0,0
e1_f7_n20000_af30_m1e-4,scattered,100000,60000,20000,3.000000e-01,1.000000e-04,optimal,6000,6000,0,1014,6000,6017,0,0,3.236611e-11,3.793591e-10,2.335210e-12,8.454401e-05,2.066408e+00,17,18,1,34,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,11,0,0.000000e+00,0,0,0,0,1014,0,0,0,0,0,0,0,0,0,0,0,3.591714e-01,1.480260e-01,0,0
e1_f7_n20000_af30_m1e-6,scattered,100000,60000,20000,3.000000e-01,1.000000e-06,max_iter,6000,17526,11526,1964,12360,18590,216,6576,3.025335e-05,5.546180e-05,6.108063e-09,1.217232e+00,6.131671e+00,60,60,1,120,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,6,0,6,0,0.000000e+00,0,0,0,0,1964,0,0,0,0,0,1,1,0,0,0,0,1.635833e-05,1.292352e-05,0,0
e1_anchor_f7_n20000_bound_neutral,anchor,100000,60000,20000,0.000000e+00,-1.000000e+00,optimal,0,0,0,0,0,0,0,0,5.712734e-12,5.552797e-11,9.998618e-13,-1.000000e+00,1.384562e+00,12,13,1,24,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000e+00,9.950001e-01,0,0
e1_anchor_f7_n20000_path_neutral,anchor,100000,60000,20000,0.000000e+00,-1.000000e+00,optimal,0,0,0,0,0,0,0,0,1.009592e-11,7.876571e-11,9.997548e-13,-1.000000e+00,1.379567e+00,12,13,1,24,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000e+00,9.950001e-01,0,0
e1blk_f7_n20000_af01_m1e-2,contiguous,100000,60000,20000,1.000000e-02,1.000000e-02,optimal,200,200,0,0,199,200,1,0,7.735002e-10,5.586320e-10,1.046732e-12,8.401076e-04,3.010117e+00,27,28,1,54,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,9,0,9,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125221e-01,2.443962e-02,0,0
e1blk_f7_n20000_af01_m1e-4,contiguous,100000,60000,20000,1.000000e-02,1.000000e-04,optimal,200,200,0,1045,200,216,0,0,7.083654e-11,1.354082e-10,1.191520e-12,1.610779e-04,2.719441e+00,24,25,1,48,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,10,0,10,0,0.000000e+00,0,0,0,0,1045,0,0,0,0,0,0,0,0,0,0,0,3.652751e-01,3.794728e-02,0,0
e1blk_f7_n20000_af01_m1e-6,contiguous,100000,60000,20000,1.000000e-02,1.000000e-06,optimal,200,202,2,3407,200,376,0,0,2.148864e-12,5.548109e-10,1.066321e-12,3.085795e-04,2.727319e+00,24,25,1,48,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,11,0,0.000000e+00,0,0,0,0,3407,0,0,0,0,0,0,0,0,0,0,0,2.815751e-01,1.550480e-01,0,0
e1blk_f7_n20000_af10_m1e-2,contiguous,100000,60000,20000,1.000000e-01,1.000000e-02,optimal,2000,2000,0,0,2000,2000,0,0,8.842518e-11,2.852801e-10,1.131504e-12,2.215321e-04,2.532214e+00,22,23,1,44,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,10,0,10,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.535697e-01,8.993840e-02,0,0
e1blk_f7_n20000_af10_m1e-4,contiguous,100000,60000,20000,1.000000e-01,1.000000e-04,optimal,2000,2000,0,2088,2000,2008,0,0,5.665426e-12,1.003744e-09,1.281886e-12,1.729232e-04,3.290516e+00,30,31,1,60,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,11,0,0.000000e+00,0,0,0,0,2088,0,0,0,0,0,0,0,0,0,0,0,3.394630e-01,5.865893e-02,0,0
e1blk_f7_n20000_af10_m1e-6,contiguous,100000,60000,20000,1.000000e-01,1.000000e-06,optimal,2000,2001,1,8271,2000,2075,0,0,7.568494e-11,3.368986e-11,1.004315e-12,2.630605e-04,3.005061e+00,27,28,1,54,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,10,0,10,0,0.000000e+00,0,0,0,0,8271,0,0,0,0,0,0,0,0,0,0,0,3.402540e-01,7.247433e-02,0,0
e1blk_f7_n20000_af30_m1e-2,contiguous,100000,60000,20000,3.000000e-01,1.000000e-02,optimal,6000,6000,0,0,6000,6000,0,0,7.680368e-11,9.054005e-13,9.999842e-13,1.752220e-04,3.388751e+00,31,32,1,62,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,10,0,10,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.986616e-01,3.615140e-02,0,0
e1blk_f7_n20000_af30_m1e-4,contiguous,100000,60000,20000,3.000000e-01,1.000000e-04,optimal,6000,6000,0,1460,6000,6138,0,0,1.701833e-13,1.168595e-09,1.467427e-12,3.089248e-04,2.430078e+00,21,22,1,42,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,13,0,0.000000e+00,0,0,0,0,1460,0,0,0,0,0,0,0,0,0,0,0,3.279104e-01,1.048588e-01,0,0
e1blk_f7_n20000_af30_m1e-6,contiguous,100000,60000,20000,3.000000e-01,1.000000e-06,optimal,6000,6001,1,6512,6000,7343,0,0,8.015810e-13,1.900189e-09,2.628805e-12,1.158904e-03,2.336679e+00,20,21,1,40,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,12,0,0.000000e+00,0,0,0,0,6512,0,0,0,0,0,0,0,0,0,0,0,3.247983e-01,7.803911e-02,0,0
