arm,task,sha,round,row_index,row,wall_s
01,base,102f729,5,11,f7_n20000_bound_neutral/RelaxBounds,1.093023172
01,base,102f729,5,12,hs071_x1_fixed/MakeParameter,0.000179719
01,base,102f729,5,13,hs071_x1_fixed/MakeConstraint,0.000129319
01,base,102f729,5,14,hs071_x1_fixed/RelaxBounds,0.000132640
02,T8.1,b3915ff,1,0,f7_n1000_bound_physics/MakeParameter,0.415876078
02,T8.1,b3915ff,1,1,f7_n1000_bound_physics/MakeConstraint,0.033183460
02,T8.1,b3915ff,1,2,f7_n1000_bound_physics/RelaxBounds,0.032034465
02,T8.1,b3915ff,1,3,f7_n5000_bound_physics/MakeParameter,0.178914455
02,T8.1,b3915ff,1,4,f7_n5000_bound_physics/MakeConstraint,0.173308001
02,T8.1,b3915ff,1,5,f7_n5000_bound_physics/RelaxBounds,0.177912399
02,T8.1,b3915ff,1,6,f7_n10000_bound_neutral/MakeParameter,0.542510325
02,T8.1,b3915ff,1,7,f7_n10000_bound_neutral/MakeConstraint,0.523208489
02,T8.1,b3915ff,1,8,f7_n10000_bound_neutral/RelaxBounds,0.524288684
02,T8.1,b3915ff,1,9,f7_n20000_bound_neutral/MakeParameter,1.127764123
02,T8.1,b3915ff,1,10,f7_n20000_bound_neutral/MakeConstraint,1.097282320
02,T8.1,b3915ff,1,11,f7_n20000_bound_neutral/RelaxBounds,1.092941112
02,T8.1,b3915ff,1,12,hs071_x1_fixed/MakeParameter,0.000172479
02,T8.1,b3915ff,1,13,hs071_x1_fixed/MakeConstraint,0.000130810
02,T8.1,b3915ff,1,14,hs071_x1_fixed/RelaxBounds,0.000130799
02,T8.1,b3915ff,2,0,f7_n1000_bound_physics/MakeParameter,0.110486793
02,T8.1,b3915ff,2,1,f7_n1000_bound_physics/MakeConstraint,0.032215734
02,T8.1,b3915ff,2,2,f7_n1000_bound_physics/RelaxBounds,0.032145214
02,T8.1,b3915ff,2,3,f7_n5000_bound_physics/MakeParameter,0.179369168
02,T8.1,b3915ff,2,4,f7_n5000_bound_physics/MakeConstraint,0.173162468
02,T8.1,b3915ff,2,5,f7_n5000_bound_physics/RelaxBounds,0.173612196
02,T8.1,b3915ff,2,6,f7_n10000_bound_neutral/MakeParameter,0.539672465
02,T8.1,b3915ff,2,7,f7_n10000_bound_neutral/MakeConstraint,0.523439125
02,T8.1,b3915ff,2,8,f7_n10000_bound_neutral/RelaxBounds,0.523228345
02,T8.1,b3915ff,2,9,f7_n20000_bound_neutral/MakeParameter,1.124318693
02,T8.1,b3915ff,2,10,f7_n20000_bound_neutral/MakeConstraint,1.092866935
02,T8.1,b3915ff,2,11,f7_n20000_bound_neutral/RelaxBounds,1.092304878
02,T8.1,b3915ff,2,12,hs071_x1_fixed/MakeParameter,0.000182189
02,T8.1,b3915ff,2,13,hs071_x1_fixed/MakeConstraint,0.000131099
02,T8.1,b3915ff,2,14,hs071_x1_fixed/RelaxBounds,0.000130740
02,T8.1,b3915ff,3,0,f7_n1000_bound_physics/MakeParameter,0.409536589
02,T8.1,b3915ff,3,1,f7_n1000_bound_physics/MakeConstraint,0.032131824
02,T8.1,b3915ff,3,2,f7_n1000_bound_physics/RelaxBounds,0.032205593
02,T8.1,b3915ff,3,3,f7_n5000_bound_physics/MakeParameter,0.179648606
02,T8.1,b3915ff,3,4,f7_n5000_bound_physics/MakeConstraint,0.174408662
02,T8.1,b3915ff,3,5,f7_n5000_bound_physics/RelaxBounds,0.174313602
02,T8.1,b3915ff,3,6,f7_n10000_bound_neutral/MakeParameter,0.543119899
02,T8.1,b3915ff,3,7,f7_n10000_bound_neutral/MakeConstraint,0.526620889
02,T8.1,b3915ff,3,8,f7_n10000_bound_neutral/RelaxBounds,0.528444960
02,T8.1,b3915ff,3,9,f7_n20000_bound_neutral/MakeParameter,1.134254815
02,T8.1,b3915ff,3,10,f7_n20000_bound_neutral/MakeConstraint,1.107167816
02,T8.1,b3915ff,3,11,f7_n20000_bound_neutral/RelaxBounds,1.099924821
02,T8.1,b3915ff,3,12,hs071_x1_fixed/MakeParameter,0.000174129
02,T8.1,b3915ff,3,13,hs071_x1_fixed/MakeConstraint,0.000132049
02,T8.1,b3915ff,3,14,hs071_x1_fixed/RelaxBounds,0.000133780
02,T8.1,b3915ff,4,0,f7_n1000_bound_physics/MakeParameter,0.393045658
02,T8.1,b3915ff,4,1,f7_n1000_bound_physics/MakeConstraint,0.031949566
02,T8.1,b3915ff,4,2,f7_n1000_bound_physics/RelaxBounds,0.031961225
02,T8.1,b3915ff,4,3,f7_n5000_bound_physics/MakeParameter,0.179194693
02,T8.1,b3915ff,4,4,f7_n5000_bound_physics/MakeConstraint,0.173476751
02,T8.1,b3915ff,4,5,f7_n5000_bound_physics/RelaxBounds,0.173714939
02,T8.1,b3915ff,4,6,f7_n10000_bound_neutral/MakeParameter,0.544173747
02,T8.1,b3915ff,4,7,f7_n10000_bound_neutral/MakeConstraint,0.524651471
02,T8.1,b3915ff,4,8,f7_n10000_bound_neutral/RelaxBounds,0.523191548
02,T8.1,b3915ff,4,9,f7_n20000_bound_neutral/MakeParameter,1.128813568
02,T8.1,b3915ff,4,10,f7_n20000_bound_neutral/MakeConstraint,1.093892118
02,T8.1,b3915ff,4,11,f7_n20000_bound_neutral/RelaxBounds,1.113981229
02,T8.1,b3915ff,4,12,hs071_x1_fixed/MakeParameter,0.000174329
02,T8.1,b3915ff,4,13,hs071_x1_fixed/MakeConstraint,0.000130779
02,T8.1,b3915ff,4,14,hs071_x1_fixed/RelaxBounds,0.000132270
02,T8.1,b3915ff,5,0,f7_n1000_bound_physics/MakeParameter,0.397216228
02,T8.1,b3915ff,5,1,f7_n1000_bound_physics/MakeConstraint,0.032282003
02,T8.1,b3915ff,5,2,f7_n1000_bound_physics/RelaxBounds,0.032070974
02,T8.1,b3915ff,5,3,f7_n5000_bound_physics/MakeParameter,0.183158233
02,T8.1,b3915ff,5,4,f7_n5000_bound_physics/MakeConstraint,0.173503341
02,T8.1,b3915ff,5,5,f7_n5000_bound_physics/RelaxBounds,0.173441751
02,T8.1,b3915ff,5,6,f7_n10000_bound_neutral/MakeParameter,0.541395820
02,T8.1,b3915ff,5,7,f7_n10000_bound_neutral/MakeConstraint,0.523650716
02,T8.1,b3915ff,5,8,f7_n10000_bound_neutral/RelaxBounds,0.523146419
02,T8.1,b3915ff,5,9,f7_n20000_bound_neutral/MakeParameter,1.132321651
02,T8.1,b3915ff,5,10,f7_n20000_bound_neutral/MakeConstraint,1.093388529
02,T8.1,b3915ff,5,11,f7_n20000_bound_neutral/RelaxBounds,1.093619088
02,T8.1,b3915ff,5,12,hs071_x1_fixed/MakeParameter,0.000170779
02,T8.1,b3915ff,5,13,hs071_x1_fixed/MakeConstraint,0.000132610
02,T8.1,b3915ff,5,14,hs071_x1_fixed/RelaxBounds,0.000132409
03,T8.2,b43580f,1,0,f7_n1000_bound_physics/MakeParameter,0.378378139
03,T8.2,b43580f,1,1,f7_n1000_bound_physics/MakeConstraint,0.032012525
