# U0 old-vs-new walk-census per-cell delta (all 57 cells).
# old = bench/baselines/2026-08-06-corpus/walk_baseline.csv (pre-U0 baseline of record).
# new = bench/baselines/2026-08-16-u0-corpus/walk_baseline.csv (= census run 1 rows).
# run1_run2_asserted_agree compares run 1 and run 2 on the 13 asserted columns.
# totals: status flips 0/57; cells with counter movement 0/57;
#         cells with a kkt_residual string change 41/57.
# wall_s is deliberately absent: it is co-run scheduling-dependent and asserts nothing.
cell_id,status_old,status_new,status_flip,factorizations_old,factorizations_new,qp_minors_old,qp_minors_new,escapes_old,escapes_new,qp_subproblems_old,qp_subproblems_new,qp_fact_per_qp_old,qp_fact_per_qp_new,counter_delta,kkt_residual_old,kkt_residual_new,kkt_log10_ratio,run1_run2_asserted_agree
f7_n20000_path_physics,dnf_budget,dnf_budget,no,-1,-1,-1,-1,-1,-1,-1,-1,"","",unmoved,-1.0,-1.0,n/a,byte-agreed
f7_n20000_path_warm,dnf_setup,dnf_setup,no,-1,-1,-1,-1,-1,-1,-1,-1,"","",unmoved,-1.0,-1.0,n/a,byte-agreed
f7_n2000_bound_activity,Optimal,Optimal,no,1,1,2,2,0,0,1,1,"1","1",unmoved,2.168086708e-16,2.168216410e-16,+2.598e-05,byte-agreed
f7_n2000_bound_corrupted,Optimal,Optimal,no,1,1,2,2,0,0,1,1,"1","1",unmoved,1.834299600e-14,1.834292390e-14,-1.707e-06,byte-agreed
f7_n2000_bound_neutral,Optimal,Optimal,no,1,1,2,2,0,0,1,1,"1","1",unmoved,1.259764085e-13,1.259764344e-13,+8.929e-08,byte-agreed
f7_n2000_bound_physics,Optimal,Optimal,no,1,1,2,2,0,0,1,1,"1","1",unmoved,2.168086708e-16,2.168216410e-16,+2.598e-05,byte-agreed
f7_n2000_bound_warm,Optimal,Optimal,no,1,1,2,2,0,0,1,1,"1","1",unmoved,8.394888483e-15,8.394924906e-15,+1.884e-06,byte-agreed
f7_n2000_path_activity,Optimal,Optimal,no,8,8,1505,1505,0,0,2,2,"7;1","7;1",unmoved,3.049823008e-09,3.049823215e-09,+2.948e-08,byte-agreed
f7_n2000_path_corrupted,NumericalError,NumericalError,no,39783,39783,40000,40000,0,0,2,2,"19911;19872","19911;19872",unmoved,9.843817033e-02,9.843817033e-02,+0.000e+00,byte-agreed
f7_n2000_path_neutral,NumericalError,NumericalError,no,39744,39744,40004,40004,0,0,3,3,"1;19871;19872","1;19871;19872",unmoved,3.889087297e-01,3.889087297e-01,+0.000e+00,byte-agreed
