arm,arm_label,row,round,wall_s
a2,head e51a7e0,f7_n5000_bound_physics/MakeConstraint,1,0.180905694
a2,head e51a7e0,f7_n5000_bound_physics/RelaxBounds,1,0.180381857
a2,head e51a7e0,f7_n10000_bound_neutral/MakeParameter,1,0.554721153
a2,head e51a7e0,f7_n10000_bound_neutral/MakeConstraint,1,0.538628121
a2,head e51a7e0,f7_n10000_bound_neutral/RelaxBounds,1,0.535555676
a2,head e51a7e0,f7_n20000_bound_neutral/MakeParameter,1,1.173458067
a2,head e51a7e0,f7_n20000_bound_neutral/MakeConstraint,1,1.122211744
a2,head e51a7e0,f7_n20000_bound_neutral/RelaxBounds,1,1.112510512
a2,head e51a7e0,hs071_x1_fixed/MakeParameter,1,0.000183949
a2,head e51a7e0,hs071_x1_fixed/MakeConstraint,1,0.000137989
a2,head e51a7e0,hs071_x1_fixed/RelaxBounds,1,0.000140729
a2,head e51a7e0,f7_n1000_bound_physics/MakeConstraint,2,0.032801362
a2,head e51a7e0,f7_n1000_bound_physics/RelaxBounds,2,0.032397363
a2,head e51a7e0,f7_n5000_bound_physics/MakeParameter,2,0.185738292
a2,head e51a7e0,f7_n5000_bound_physics/MakeConstraint,2,0.180619327
a2,head e51a7e0,f7_n5000_bound_physics/RelaxBounds,2,0.180043939
a2,head e51a7e0,f7_n10000_bound_neutral/MakeParameter,2,0.556819126
a2,head e51a7e0,f7_n10000_bound_neutral/MakeConstraint,2,0.540563785
a2,head e51a7e0,f7_n10000_bound_neutral/RelaxBounds,2,0.533463629
a2,head e51a7e0,f7_n20000_bound_neutral/MakeParameter,2,1.157332851
a2,head e51a7e0,f7_n20000_bound_neutral/MakeConstraint,2,1.125923922
a2,head e51a7e0,f7_n20000_bound_neutral/RelaxBounds,2,1.112103650
a2,head e51a7e0,hs071_x1_fixed/MakeParameter,2,0.000191659
a2,head e51a7e0,hs071_x1_fixed/MakeConstraint,2,0.000136789
a2,head e51a7e0,hs071_x1_fixed/RelaxBounds,2,0.000137279
a2,head e51a7e0,f7_n1000_bound_physics/MakeConstraint,3,0.032854001
a2,head e51a7e0,f7_n1000_bound_physics/RelaxBounds,3,0.032436363
a2,head e51a7e0,f7_n5000_bound_physics/MakeParameter,3,0.185922090
a2,head e51a7e0,f7_n5000_bound_physics/MakeConstraint,3,0.180880055
a2,head e51a7e0,f7_n5000_bound_physics/RelaxBounds,3,0.180013399
a2,head e51a7e0,f7_n10000_bound_neutral/MakeParameter,3,0.553816941
a2,head e51a7e0,f7_n10000_bound_neutral/MakeConstraint,3,0.537981737
a2,head e51a7e0,f7_n10000_bound_neutral/RelaxBounds,3,0.533108401
a2,head e51a7e0,f7_n20000_bound_neutral/MakeParameter,3,1.156220906
a2,head e51a7e0,f7_n20000_bound_neutral/MakeConstraint,3,1.122501609
a2,head e51a7e0,f7_n20000_bound_neutral/RelaxBounds,3,1.111875570
a2,head e51a7e0,hs071_x1_fixed/MakeParameter,3,0.000180719
a2,head e51a7e0,hs071_x1_fixed/MakeConstraint,3,0.000134759
a2,head e51a7e0,hs071_x1_fixed/RelaxBounds,3,0.000140719
a2,head e51a7e0,f7_n1000_bound_physics/MakeConstraint,4,0.032535743
a2,head e51a7e0,f7_n1000_bound_physics/RelaxBounds,4,0.032732821
a2,head e51a7e0,f7_n5000_bound_physics/MakeParameter,4,0.186502728
a2,head e51a7e0,f7_n5000_bound_physics/MakeConstraint,4,0.180803315
a2,head e51a7e0,f7_n5000_bound_physics/RelaxBounds,4,0.179840770
a2,head e51a7e0,f7_n10000_bound_neutral/MakeParameter,4,0.554786566
a2,head e51a7e0,f7_n10000_bound_neutral/MakeConstraint,4,0.538662194
a2,head e51a7e0,f7_n10000_bound_neutral/RelaxBounds,4,0.533853067
a2,head e51a7e0,f7_n20000_bound_neutral/MakeParameter,4,1.158558175
a2,head e51a7e0,f7_n20000_bound_neutral/MakeConstraint,4,1.125525825
a2,head e51a7e0,f7_n20000_bound_neutral/RelaxBounds,4,1.113429203
a2,head e51a7e0,hs071_x1_fixed/MakeParameter,4,0.000186929
a2,head e51a7e0,hs071_x1_fixed/MakeConstraint,4,0.000137970
a2,head e51a7e0,hs071_x1_fixed/RelaxBounds,4,0.000140510
a2,head e51a7e0,f7_n1000_bound_physics/MakeConstraint,5,0.032434953
a2,head e51a7e0,f7_n1000_bound_physics/RelaxBounds,5,0.032407653
a2,head e51a7e0,f7_n5000_bound_physics/MakeParameter,5,0.185620602
a2,head e51a7e0,f7_n5000_bound_physics/MakeConstraint,5,0.180409398
a2,head e51a7e0,f7_n5000_bound_physics/RelaxBounds,5,0.179280862
a2,head e51a7e0,f7_n10000_bound_neutral/MakeParameter,5,0.553930020
a2,head e51a7e0,f7_n10000_bound_neutral/MakeConstraint,5,0.536355625
a2,head e51a7e0,f7_n10000_bound_neutral/RelaxBounds,5,0.531965756
a2,head e51a7e0,f7_n20000_bound_neutral/MakeParameter,5,1.156576124
a2,head e51a7e0,f7_n20000_bound_neutral/MakeConstraint,5,1.127219376
a2,head e51a7e0,f7_n20000_bound_neutral/RelaxBounds,5,1.110555517
a2,head e51a7e0,hs071_x1_fixed/MakeParameter,5,0.000180559
a2,head e51a7e0,hs071_x1_fixed/MakeConstraint,5,0.000135209
a2,head e51a7e0,hs071_x1_fixed/RelaxBounds,5,0.000138000
a3,E1,f7_n1000_bound_physics/MakeConstraint,1,0.032675701
a3,E1,f7_n1000_bound_physics/RelaxBounds,1,0.032602683
a3,E1,f7_n5000_bound_physics/MakeParameter,1,0.185781380
a3,E1,f7_n5000_bound_physics/MakeConstraint,1,0.180551846
a3,E1,f7_n5000_bound_physics/RelaxBounds,1,0.177362711
a3,E1,f7_n10000_bound_neutral/MakeParameter,1,0.554695763
a3,E1,f7_n10000_bound_neutral/MakeConstraint,1,0.538507012
a3,E1,f7_n10000_bound_neutral/RelaxBounds,1,0.541195218
a3,E1,f7_n20000_bound_neutral/MakeParameter,1,1.155959501
a3,E1,f7_n20000_bound_neutral/MakeConstraint,1,1.126744422
a3,E1,f7_n20000_bound_neutral/RelaxBounds,1,1.129586908
a3,E1,hs071_x1_fixed/MakeParameter,1,0.000180739
a3,E1,hs071_x1_fixed/MakeConstraint,1,0.000137599
a3,E1,hs071_x1_fixed/RelaxBounds,1,0.000137710
a3,E1,f7_n1000_bound_physics/MakeConstraint,2,0.033007990
a3,E1,f7_n1000_bound_physics/RelaxBounds,2,0.032630643
