# artifact: hven IPQP E1 acceptance arm (M6 W1 T10, spec section 8 A4/Q4/A13/A14)
# producer: bench/ipqp_e1_arm.cpp (hven_sqp_ipqp_e1_arm)
# git describe: 4877bec876ad
# mode: sweep
# date (UTC): 2026-09-04T08:48:46Z
# MKL_NUM_THREADS: 1
# OMP_NUM_THREADS: 1
# cell recipe: docs/notes/data/2026-08-m6-e1-acquisition/generator/e1_generate.cpp
# PIQP: NEVER run, linked or read as source here; its committed CSVs are the
#       oracle this arm is compared against (CLAUDE.md section 6).
# ipqp_init_mu: 1.000000e-02
# ipqp_converge_slack: 1.000000e+02
# ipqp_hard_iter_cap: 60
# ipqp_max_iter: 0
# ipqp_max_factorizations: 0
# (shipped defaults: 1.000000e-02 / 1.000000e+02 / 60 / 0 / 0;
#  0 is the size-derived sentinel, NOT an unbounded budget)
# wall_s is INFORMATIONAL (CLAUDE.md section 7).
id,layout,n,me,mi,active_fraction,margin_class,status,active_true,active_found,misclassified,uncertain,rule_a,rule_b,rule_a_missed,rule_a_false_positive,e2e_usable,e2e_polished,e2e_rule_a,e2e_rule_a_missed,e2e_rule_a_false_positive,e2e_factorizations,res_primal,res_dual,res_comp,x_err_inf,wall_s,ipqp_iters,ipqp_factorizations,ipqp_symbolic_analyses,ipqp_solves,ipqp_pattern_verifies,ipqp_rho_demanded_max,ipqp_rho_demanded_last,ipqp_inertia_retries,ipqp_iters_at_elevated_rho,ipqp_ladder_reclimbs,ipqp_pivot_reroute_primal,ipqp_pivot_reroute_dual_fallback,ipqp_iters_ladder_armed_no_advance,ipqp_final_inertia_read,ipqp_reg_decreases,ipqp_reg_increases,ipqp_prox_center_updates,ipqp_restart_repairs,ipqp_restart_shift_max,ipqp_mu_adopted,ipqp_warm_restart_abandoned,ipqp_declined_pinned,ipqp_tier_retired_after,ipqp_face_uncertain,ipqp_refine_accepted,ipqp_refine_refused,ipqp_to_refine,ipqp_to_ssn,ipqp_to_walk,ipqp_escapes,ipqp_escape_budget,ipqp_escape_stall,ipqp_escape_indefinite,ipqp_escape_numerical,ipqp_escape_infeasible_suspect,ipqp_alpha_p_min,ipqp_alpha_d_min,ipqp_read_kept_tight_sides,ipqp_read_barrier_noise_sides
e1_f7_n20000_af01_m1e-4,scattered,100000,60000,20000,1.000000e-02,1.000000e-04,optimal,200,204,4,2408,200,913,0,0,1,1,204,0,4,34,5.451931e-12,1.526108e-10,1.819397e-12,2.498843e-04,3.560544e+00,32,33,1,64,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,10,0,10,0,0.000000e+00,0,0,0,0,2408,0,0,0,0,0,0,0,0,0,0,0,1.111974e-01,7.110088e-03,0,0
e1_f7_n20000_af01_m1e-6,scattered,100000,60000,20000,1.000000e-02,1.000000e-06,optimal,200,5028,4828,14694,71,19050,129,0,1,0,71,129,0,31,5.592460e-10,6.401267e-08,2.341170e-10,1.747378e-02,3.243600e+00,29,30,1,58,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,11,0,0.000000e+00,0,0,0,0,14694,0,0,0,0,0,0,0,0,0,0,0,4.773815e-02,1.277305e-03,0,0
e1_f7_n20000_af10_m1e-2,scattered,100000,60000,20000,1.000000e-01,1.000000e-02,optimal,2000,2000,0,0,1045,2000,955,0,1,1,2000,0,0,26,4.859155e-10,1.853586e-08,4.916511e-11,1.112055e-03,2.733161e+00,24,25,1,48,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,10,0,10,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.007294e-01,5.154815e-02,0,0
e1_f7_n20000_af10_m1e-4,scattered,100000,60000,20000,1.000000e-01,1.000000e-04,optimal,2000,2066,66,7462,1520,9876,480,0,1,1,2065,0,65,24,1.408869e-08,7.237331e-08,4.100356e-10,4.760155e-03,2.544788e+00,22,23,1,44,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,9,0,9,0,0.000000e+00,0,0,0,0,7462,0,0,0,0,0,0,0,0,0,0,0,3.678718e-01,1.479838e-01,0,0
e1_f7_n20000_af10_m1e-6,scattered,100000,60000,20000,1.000000e-01,1.000000e-06,optimal,2000,8809,6809,11055,2000,19112,0,0,1,0,2000,0,0,30,5.151084e-10,1.201209e-08,8.334043e-11,4.286297e-03,3.135532e+00,28,29,1,56,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,12,0,0.000000e+00,0,0,0,0,11055,0,0,0,0,0,0,0,0,0,0,0,7.848542e-02,5.645422e-03,0,0
e1_f7_n20000_af30_m1e-2,scattered,100000,60000,20000,3.000000e-01,1.000000e-02,optimal,6000,6000,0,2,1243,6002,4757,0,1,1,6000,0,0,20,4.694686e-09,7.099933e-08,5.915402e-10,7.285608e-03,2.160682e+00,18,19,1,36,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,9,0,9,0,0.000000e+00,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.431051e-01,3.166912e-02,0,0
e1_f7_n20000_af30_m1e-4,scattered,100000,60000,20000,3.000000e-01,1.000000e-04,optimal,6000,6018,18,4656,5189,9008,811,0,1,1,6017,0,17,18,5.399476e-09,3.400417e-08,2.353133e-10,4.001251e-03,1.951739e+00,16,17,1,32,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,10,0,10,0,0.000000e+00,0,0,0,0,4656,0,0,0,0,0,0,0,0,0,0,0,3.591714e-01,1.480260e-01,0,0
e1_f7_n20000_af30_m1e-6,scattered,100000,60000,20000,3.000000e-01,1.000000e-06,max_iter,6000,17649,11649,2351,10946,20000,178,5124,0,0,10946,178,5124,60,1.361659e-05,3.066515e-05,3.331293e-08,6.893802e-01,6.121840e+00,60,60,1,120,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,6,0,6,0,0.000000e+00,0,0,0,0,2351,0,0,0,0,0,1,1,0,0,0,0,3.246759e-02,1.890527e-03,0,0
e1_anchor_f7_n20000_bound_neutral,anchor,100000,60000,20000,0.000000e+00,-1.000000e+00,optimal,0,0,0,0,-1,-1,-1,-1,1,1,-1,-1,-1,13,7.389838e-09,4.142000e-08,9.930339e-13,-1.000000e+00,1.274554e+00,11,12,1,22,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,7,0,7,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000e+00,9.950001e-01,0,0
e1_anchor_f7_n20000_path_neutral,anchor,100000,60000,20000,0.000000e+00,-1.000000e+00,optimal,0,0,0,0,-1,-1,-1,-1,1,1,-1,-1,-1,13,8.638270e-09,6.163852e-08,9.889572e-13,-1.000000e+00,1.273309e+00,11,12,1,22,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,7,0,7,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000000e+00,9.950001e-01,0,0
e1blk_f7_n20000_af01_m1e-2,contiguous,100000,60000,20000,1.000000e-02,1.000000e-02,optimal,200,200,0,23,117,330,83,0,1,1,199,1,0,28,1.957238e-08,1.574365e-09,1.391364e-11,5.120552e-03,2.912031e+00,26,27,1,52,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,3.125221e-01,2.443962e-02,0,0
e1blk_f7_n20000_af01_m1e-4,contiguous,100000,60000,20000,1.000000e-02,1.000000e-04,optimal,200,200,0,3025,114,3088,86,0,1,1,200,0,0,24,1.841238e-08,3.827011e-09,2.883706e-11,6.291747e-03,2.528055e+00,22,23,1,44,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,3025,0,0,0,0,0,0,0,0,0,0,0,3.652751e-01,3.794728e-02,0,0
e1blk_f7_n20000_af01_m1e-6,contiguous,100000,60000,20000,1.000000e-02,1.000000e-06,optimal,200,214,14,4706,171,18989,29,0,1,0,171,29,0,22,1.743807e-09,3.994279e-08,5.624664e-10,1.912374e-02,2.340661e+00,20,21,1,40,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,9,0,9,0,0.000000e+00,0,0,0,0,4706,0,0,0,0,0,0,0,0,0,0,0,2.815751e-01,1.550480e-01,0,0
e1blk_f7_n20000_af10_m1e-2,contiguous,100000,60000,20000,1.000000e-01,1.000000e-02,optimal,2000,2000,0,60,1966,2287,34,0,1,1,2000,0,0,23,1.436152e-09,1.911940e-09,2.018604e-11,1.283987e-03,2.435408e+00,21,22,1,42,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,9,0,9,0,0.000000e+00,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,2.535697e-01,8.993840e-02,0,0
e1blk_f7_n20000_af10_m1e-4,contiguous,100000,60000,20000,1.000000e-01,1.000000e-04,optimal,2000,2000,0,4774,1974,7363,26,0,1,1,1995,5,0,30,1.625214e-09,1.502091e-09,3.840433e-11,2.912344e-03,3.097588e+00,28,29,1,56,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,9,0,9,0,0.000000e+00,0,0,0,0,4774,0,0,0,0,0,0,0,0,0,0,0,3.394630e-01,5.865893e-02,0,0
e1blk_f7_n20000_af10_m1e-6,contiguous,100000,60000,20000,1.000000e-01,1.000000e-06,optimal,2000,2011,11,10304,1152,9768,848,0,1,0,1152,848,0,26,2.206384e-08,2.249622e-09,2.182255e-10,1.045457e-02,2.707957e+00,24,25,1,48,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,10304,0,0,0,0,0,0,0,0,0,0,0,3.402540e-01,7.247433e-02,0,0
e1blk_f7_n20000_af30_m1e-2,contiguous,100000,60000,20000,3.000000e-01,1.000000e-02,optimal,6000,6000,0,0,3446,6000,2554,0,1,1,5996,4,0,30,2.391958e-08,3.546424e-09,1.087040e-12,8.165840e-03,3.098114e+00,28,29,1,56,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,8,0,8,0,0.000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.986616e-01,3.615140e-02,0,0
e1blk_f7_n20000_af30_m1e-4,contiguous,100000,60000,20000,3.000000e-01,1.000000e-04,optimal,6000,6000,0,2452,6000,10260,0,0,1,1,5993,7,0,21,9.458742e-11,2.256980e-08,5.917951e-11,5.419028e-03,2.231325e+00,19,20,1,38,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,11,0,11,0,0.000000e+00,0,0,0,0,2452,0,0,0,0,0,0,0,0,0,0,0,3.279104e-01,1.048588e-01,0,0
e1blk_f7_n20000_af30_m1e-6,contiguous,100000,60000,20000,3.000000e-01,1.000000e-06,optimal,6000,6009,9,7211,5998,16891,2,0,1,0,5998,2,0,20,1.275495e-10,3.182009e-08,1.042535e-10,1.043263e-02,2.131131e+00,18,19,1,36,0,0.000000e+00,0.000000e+00,0,0,0,0,0,0,0,10,0,10,0,0.000000e+00,0,0,0,0,7211,0,0,0,0,0,0,0,0,0,0,0,3.247983e-01,7.803911e-02,0,0
