Filename                                                                                      Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
home/ghecht/Projects/hven/include/hven/detail/qp/qp_engine.h                                      103                 2    98.06%          18                 0   100.00%         150                 6    96.00%          66                 3    95.45%
home/ghecht/Projects/hven/include/hven/detail/qp/qp_problem.h                                      35                 6    82.86%           4                 0   100.00%          45                18    60.00%          22                 7    68.18%
home/ghecht/Projects/hven/include/hven/detail/qp/ssn_engine.h                                      32                 3    90.62%           7                 1    85.71%          30                 5    83.33%          20                 4    80.00%
home/ghecht/Projects/hven/include/hven/detail/qp/working_set.h                                     27                 0   100.00%          10                 0   100.00%          34                 0   100.00%          16                 1    93.75%
home/ghecht/Projects/hven/include/hven/detail/solvers/solver_interface_specs.h                     68                38    44.12%          62                38    38.71%         205               110    46.34%           0                 0         -
home/ghecht/Projects/hven/include/hven/detail/warmstart/mesh_transfer.h                           100                 1    99.00%           7                 0   100.00%         182                 3    98.35%          72                 3    95.83%
home/ghecht/Projects/hven/include/hven/detail/warmstart/predictor.h                               230                10    95.65%          13                 0   100.00%         524                22    95.80%         194                23    88.14%
home/ghecht/Projects/hven/include/hven/detail/warmstart/warm_start.h                               10                 0   100.00%           1                 0   100.00%          18                 0   100.00%           6                 0   100.00%
home/ghecht/Projects/hven/include/hven/drivers/interior_point_solver.h                             17                 8    52.94%          17                 8    52.94%          65                19    70.77%           0                 0         -
home/ghecht/Projects/hven/include/hven/drivers/optimization_problem_base.h                         31                17    45.16%          10                 4    60.00%         105                69    34.29%          30                19    36.67%
home/ghecht/Projects/hven/include/hven/drivers/sqp_driver.h                                         7                 0   100.00%           3                 0   100.00%           5                 0   100.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/linear/symmetric_factor.h                                    2                 0   100.00%           2                 0   100.00%           6                 0   100.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/model/aggregate_declaration.h                                5                 0   100.00%           1                 0   100.00%           1                 0   100.00%           3                 0   100.00%
home/ghecht/Projects/hven/include/hven/model/candidate_point.h                                     68                 2    97.06%          13                 0   100.00%         137                10    92.70%          50                 2    96.00%
