arm,kind,round,row_index,row,wall_s
e1,parent,4,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000183039
e1,parent,5,0,f7_n1000_bound_physics/MakeParameter,1.024110671
e1,parent,5,1,f7_n1000_bound_physics/MakeConstraint,0.031975715
e1,parent,5,2,f7_n1000_bound_physics/RelaxBounds,0.031887545
e1,parent,5,3,f7_n5000_bound_physics/MakeParameter,0.178984872
e1,parent,5,4,f7_n5000_bound_physics/MakeConstraint,0.173125780
e1,parent,5,5,f7_n5000_bound_physics/RelaxBounds,0.173206549
e1,parent,5,6,f7_n10000_bound_neutral/MakeParameter,0.531137753
e1,parent,5,7,f7_n10000_bound_neutral/MakeConstraint,0.526713275
e1,parent,5,8,f7_n10000_bound_neutral/RelaxBounds,0.521259551
e1,parent,5,9,f7_n20000_bound_neutral/MakeParameter,1.125652419
e1,parent,5,10,f7_n20000_bound_neutral/MakeConstraint,1.090193591
e1,parent,5,11,f7_n20000_bound_neutral/RelaxBounds,1.092822499
e1,parent,5,12,hs071_x1_fixed/MakeParameter,0.000172450
e1,parent,5,13,hs071_x1_fixed/MakeConstraint,0.000126389
e1,parent,5,14,hs071_x1_fixed/RelaxBounds,0.000145809
e1,parent,5,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016060042
e1,parent,5,16,hs071_x1_fixed/MakeParameter/cap1,0.000074990
e1,parent,5,17,infeas2_spike/MakeParameter/stalled,0.000590427
e1,parent,5,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000181209
e2,culprit,1,0,f7_n1000_bound_physics/MakeParameter,0.375072411
e2,culprit,1,1,f7_n1000_bound_physics/MakeConstraint,0.032639662
e2,culprit,1,2,f7_n1000_bound_physics/RelaxBounds,0.032660722
e2,culprit,1,3,f7_n5000_bound_physics/MakeParameter,0.186108607
e2,culprit,1,4,f7_n5000_bound_physics/MakeConstraint,0.179394800
e2,culprit,1,5,f7_n5000_bound_physics/RelaxBounds,0.180081946
e2,culprit,1,6,f7_n10000_bound_neutral/MakeParameter,0.553104096
e2,culprit,1,7,f7_n10000_bound_neutral/MakeConstraint,0.552110641
e2,culprit,1,8,f7_n10000_bound_neutral/RelaxBounds,0.535775831
e2,culprit,1,9,f7_n20000_bound_neutral/MakeParameter,1.156476469
e2,culprit,1,10,f7_n20000_bound_neutral/MakeConstraint,1.121231430
e2,culprit,1,11,f7_n20000_bound_neutral/RelaxBounds,1.121151470
e2,culprit,1,12,hs071_x1_fixed/MakeParameter,0.000183139
e2,culprit,1,13,hs071_x1_fixed/MakeConstraint,0.000136949
e2,culprit,1,14,hs071_x1_fixed/RelaxBounds,0.000136440
e2,culprit,1,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016719078
e2,culprit,1,16,hs071_x1_fixed/MakeParameter/cap1,0.000081660
e2,culprit,1,17,infeas2_spike/MakeParameter/stalled,0.000617847
e2,culprit,1,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000197729
e2,culprit,2,0,f7_n1000_bound_physics/MakeParameter,0.231807266
e2,culprit,2,1,f7_n1000_bound_physics/MakeConstraint,0.032611092
e2,culprit,2,2,f7_n1000_bound_physics/RelaxBounds,0.032661402
e2,culprit,2,3,f7_n5000_bound_physics/MakeParameter,0.185271641
e2,culprit,2,4,f7_n5000_bound_physics/MakeConstraint,0.177969226
e2,culprit,2,5,f7_n5000_bound_physics/RelaxBounds,0.178018316
e2,culprit,2,6,f7_n10000_bound_neutral/MakeParameter,0.555248726
e2,culprit,2,7,f7_n10000_bound_neutral/MakeConstraint,0.538843506
e2,culprit,2,8,f7_n10000_bound_neutral/RelaxBounds,0.536039520
e2,culprit,2,9,f7_n20000_bound_neutral/MakeParameter,1.154546919
e2,culprit,2,10,f7_n20000_bound_neutral/MakeConstraint,1.119745437
e2,culprit,2,11,f7_n20000_bound_neutral/RelaxBounds,1.121716708
e2,culprit,2,12,hs071_x1_fixed/MakeParameter,0.000188739
e2,culprit,2,13,hs071_x1_fixed/MakeConstraint,0.000139620
e2,culprit,2,14,hs071_x1_fixed/RelaxBounds,0.000140589
e2,culprit,2,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016807199
e2,culprit,2,16,hs071_x1_fixed/MakeParameter/cap1,0.000082870
e2,culprit,2,17,infeas2_spike/MakeParameter/stalled,0.000625827
e2,culprit,2,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000193429
e2,culprit,3,0,f7_n1000_bound_physics/MakeParameter,0.367236839
e2,culprit,3,1,f7_n1000_bound_physics/MakeConstraint,0.032642781
e2,culprit,3,2,f7_n1000_bound_physics/RelaxBounds,0.032795341
e2,culprit,3,3,f7_n5000_bound_physics/MakeParameter,0.185542430
e2,culprit,3,4,f7_n5000_bound_physics/MakeConstraint,0.177899867
e2,culprit,3,5,f7_n5000_bound_physics/RelaxBounds,0.178274785
e2,culprit,3,6,f7_n10000_bound_neutral/MakeParameter,0.553337515
e2,culprit,3,7,f7_n10000_bound_neutral/MakeConstraint,0.541346374
e2,culprit,3,8,f7_n10000_bound_neutral/RelaxBounds,0.536561047
e2,culprit,3,9,f7_n20000_bound_neutral/MakeParameter,1.159968352
e2,culprit,3,10,f7_n20000_bound_neutral/MakeConstraint,1.124151256
e2,culprit,3,11,f7_n20000_bound_neutral/RelaxBounds,1.125121941
e2,culprit,3,12,hs071_x1_fixed/MakeParameter,0.000182880
e2,culprit,3,13,hs071_x1_fixed/MakeConstraint,0.000137919
e2,culprit,3,14,hs071_x1_fixed/RelaxBounds,0.000138169
e2,culprit,3,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016754579
e2,culprit,3,16,hs071_x1_fixed/MakeParameter/cap1,0.000080029
e2,culprit,3,17,infeas2_spike/MakeParameter/stalled,0.000617607
e2,culprit,3,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000198559
e2,culprit,4,0,f7_n1000_bound_physics/MakeParameter,0.365931625
e2,culprit,4,1,f7_n1000_bound_physics/MakeConstraint,0.032655852
e2,culprit,4,2,f7_n1000_bound_physics/RelaxBounds,0.032649352
e2,culprit,4,3,f7_n5000_bound_physics/MakeParameter,0.186172547
e2,culprit,4,4,f7_n5000_bound_physics/MakeConstraint,0.178887952
e2,culprit,4,5,f7_n5000_bound_physics/RelaxBounds,0.178595774
e2,culprit,4,6,f7_n10000_bound_neutral/MakeParameter,0.552974917
e2,culprit,4,7,f7_n10000_bound_neutral/MakeConstraint,0.539179094
e2,culprit,4,8,f7_n10000_bound_neutral/RelaxBounds,0.537042944
e2,culprit,4,9,f7_n20000_bound_neutral/MakeParameter,1.162359701
e2,culprit,4,10,f7_n20000_bound_neutral/MakeConstraint,1.130985113
e2,culprit,4,11,f7_n20000_bound_neutral/RelaxBounds,1.129167011
e2,culprit,4,12,hs071_x1_fixed/MakeParameter,0.000185209
e2,culprit,4,13,hs071_x1_fixed/MakeConstraint,0.000139940
e2,culprit,4,14,hs071_x1_fixed/RelaxBounds,0.000138499
e2,culprit,4,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016763419
