arm,commit,sha,round,row_index,row,wall_s
01,T8.3,510a4bb,4,6,f7_n10000_bound_neutral/MakeParameter,0.537340053
01,T8.3,510a4bb,4,7,f7_n10000_bound_neutral/MakeConstraint,0.526938483
01,T8.3,510a4bb,4,8,f7_n10000_bound_neutral/RelaxBounds,0.527030683
01,T8.3,510a4bb,4,9,f7_n20000_bound_neutral/MakeParameter,1.137593220
01,T8.3,510a4bb,4,10,f7_n20000_bound_neutral/MakeConstraint,1.101327036
01,T8.3,510a4bb,4,11,f7_n20000_bound_neutral/RelaxBounds,1.103371377
01,T8.3,510a4bb,4,12,hs071_x1_fixed/MakeParameter,0.000174199
01,T8.3,510a4bb,4,13,hs071_x1_fixed/MakeConstraint,0.000126329
01,T8.3,510a4bb,4,14,hs071_x1_fixed/RelaxBounds,0.000130119
01,T8.3,510a4bb,4,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016226451
01,T8.3,510a4bb,4,16,hs071_x1_fixed/MakeParameter/cap1,0.000076289
01,T8.3,510a4bb,4,17,infeas2_spike/MakeParameter/stalled,0.000584867
01,T8.3,510a4bb,4,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000180369
01,T8.3,510a4bb,5,0,f7_n1000_bound_physics/MakeParameter,0.191603831
01,T8.3,510a4bb,5,1,f7_n1000_bound_physics/MakeConstraint,0.032217013
01,T8.3,510a4bb,5,2,f7_n1000_bound_physics/RelaxBounds,0.032241323
01,T8.3,510a4bb,5,3,f7_n5000_bound_physics/MakeParameter,0.180949362
01,T8.3,510a4bb,5,4,f7_n5000_bound_physics/MakeConstraint,0.175178570
01,T8.3,510a4bb,5,5,f7_n5000_bound_physics/RelaxBounds,0.174989391
01,T8.3,510a4bb,5,6,f7_n10000_bound_neutral/MakeParameter,0.541331924
01,T8.3,510a4bb,5,7,f7_n10000_bound_neutral/MakeConstraint,0.525529740
01,T8.3,510a4bb,5,8,f7_n10000_bound_neutral/RelaxBounds,0.529652550
01,T8.3,510a4bb,5,9,f7_n20000_bound_neutral/MakeParameter,1.141695870
01,T8.3,510a4bb,5,10,f7_n20000_bound_neutral/MakeConstraint,1.101727964
01,T8.3,510a4bb,5,11,f7_n20000_bound_neutral/RelaxBounds,1.102158802
01,T8.3,510a4bb,5,12,hs071_x1_fixed/MakeParameter,0.000174809
01,T8.3,510a4bb,5,13,hs071_x1_fixed/MakeConstraint,0.000127559
01,T8.3,510a4bb,5,14,hs071_x1_fixed/RelaxBounds,0.000128900
01,T8.3,510a4bb,5,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016140081
01,T8.3,510a4bb,5,16,hs071_x1_fixed/MakeParameter/cap1,0.000078869
01,T8.3,510a4bb,5,17,infeas2_spike/MakeParameter/stalled,0.000586087
01,T8.3,510a4bb,5,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000178629
02,8ae1618,8ae1618,1,0,f7_n1000_bound_physics/MakeParameter,0.345949211
02,8ae1618,8ae1618,1,1,f7_n1000_bound_physics/MakeConstraint,0.032155054
02,8ae1618,8ae1618,1,2,f7_n1000_bound_physics/RelaxBounds,0.032019885
02,8ae1618,8ae1618,1,3,f7_n5000_bound_physics/MakeParameter,0.179619979
02,8ae1618,8ae1618,1,4,f7_n5000_bound_physics/MakeConstraint,0.172972850
02,8ae1618,8ae1618,1,5,f7_n5000_bound_physics/RelaxBounds,0.173384968
02,8ae1618,8ae1618,1,6,f7_n10000_bound_neutral/MakeParameter,0.533504741
02,8ae1618,8ae1618,1,7,f7_n10000_bound_neutral/MakeConstraint,0.522560305
02,8ae1618,8ae1618,1,8,f7_n10000_bound_neutral/RelaxBounds,0.523982617
02,8ae1618,8ae1618,1,9,f7_n20000_bound_neutral/MakeParameter,1.124879112
02,8ae1618,8ae1618,1,10,f7_n20000_bound_neutral/MakeConstraint,1.090379920
02,8ae1618,8ae1618,1,11,f7_n20000_bound_neutral/RelaxBounds,1.092333750
02,8ae1618,8ae1618,1,12,hs071_x1_fixed/MakeParameter,0.000171579
02,8ae1618,8ae1618,1,13,hs071_x1_fixed/MakeConstraint,0.000124950
02,8ae1618,8ae1618,1,14,hs071_x1_fixed/RelaxBounds,0.000127779
02,8ae1618,8ae1618,1,15,f7_n1000_bound_neutral/MakeParameter/cap1,0.016221681
02,8ae1618,8ae1618,1,16,hs071_x1_fixed/MakeParameter/cap1,0.000076159
02,8ae1618,8ae1618,1,17,infeas2_spike/MakeParameter/stalled,0.000590797
02,8ae1618,8ae1618,1,18,infeas2_stationary/MakeParameter/resto_infeasible,0.000180199
02,8ae1618,8ae1618,2,0,f7_n1000_bound_physics/MakeParameter,0.085881943
02,8ae1618,8ae1618,2,1,f7_n1000_bound_physics/MakeConstraint,0.032293304
02,8ae1618,8ae1618,2,2,f7_n1000_bound_physics/RelaxBounds,0.032254543
02,8ae1618,8ae1618,2,3,f7_n5000_bound_physics/MakeParameter,0.181356140
02,8ae1618,8ae1618,2,4,f7_n5000_bound_physics/MakeConstraint,0.174839282
02,8ae1618,8ae1618,2,5,f7_n5000_bound_physics/RelaxBounds,0.175169291
02,8ae1618,8ae1618,2,6,f7_n10000_bound_neutral/MakeParameter,0.539429163
02,8ae1618,8ae1618,2,7,f7_n10000_bound_neutral/MakeConstraint,0.526221297
02,8ae1618,8ae1618,2,8,f7_n10000_bound_neutral/RelaxBounds,0.529030103
02,8ae1618,8ae1618,2,9,f7_n20000_bound_neutral/MakeParameter,1.134999883
02,8ae1618,8ae1618,2,10,f7_n20000_bound_neutral/MakeConstraint,1.101229927
02,8ae1618,8ae1618,2,11,f7_n20000_bound_neutral/RelaxBounds,1.101961763
02,8ae1618,8ae1618,2,12,hs071_x1_fixed/MakeParameter,0.000192049
