arm,task,sha,mode,cell,round,instructions,branches,cycles,branch_misses,l1_icache_load_misses
a02,T8.1,b3915ff,ipm,f7_n20000_bound_neutral,1,15958320507,2405656003,5279693107,8317914,1141098
a02,T8.1,b3915ff,ipm,f7_n20000_bound_neutral,2,15958314923,2405653990,5271491491,8341813,1122295
a02,T8.1,b3915ff,ipm,f7_n20000_bound_neutral,3,15958321569,2405656415,5301540148,8334413,1124309
a02,T8.1,b3915ff,ipm,f7_n20000_bound_neutral,4,15958320414,2405656039,5266465186,8302033,1139379
a02,T8.1,b3915ff,ipm,f7_n20000_bound_neutral,5,15958321527,2405656396,5280409965,8355852,1171788
a02,T8.1,b3915ff,ssn,f7_n1000_bound_neutral,1,488477331,77310748,177749513,576466,37177
a02,T8.1,b3915ff,ssn,f7_n1000_bound_neutral,2,488477413,77310779,178581310,589489,38100
a02,T8.1,b3915ff,ssn,f7_n1000_bound_neutral,3,488477377,77310765,178372877,579216,37237
a02,T8.1,b3915ff,ssn,f7_n1000_bound_neutral,4,488477365,77310761,178330316,587101,38456
a02,T8.1,b3915ff,ssn,f7_n1000_bound_neutral,5,488477360,77310768,178172952,582370,38159
a02,T8.1,b3915ff,ssn,f7_n5000_bound_neutral,1,2629029517,413928600,945867692,2260471,194869
a02,T8.1,b3915ff,ssn,f7_n5000_bound_neutral,2,2629028365,413928153,947118223,2283442,193331
a02,T8.1,b3915ff,ssn,f7_n5000_bound_neutral,3,2629034911,413930593,946564053,2266765,197602
a02,T8.1,b3915ff,ssn,f7_n5000_bound_neutral,4,2629034676,413930528,946442335,2251512,198014
a02,T8.1,b3915ff,ssn,f7_n5000_bound_neutral,5,2629034930,413930610,947520547,2270460,198110
a02,T8.1,b3915ff,ssn,f7_n20000_bound_neutral,1,11674693529,1834990163,4338165477,9492945,809367
a02,T8.1,b3915ff,ssn,f7_n20000_bound_neutral,2,11674693061,1834989953,4324646633,9571606,801950
