arm,rep,side,n,inner,median_s,min_s,flag,xnorm2
threaded,6,base,120,15,0.007938,0.007057,0,2.7501926043856093
threaded,6,base,240,15,0.035155,0.034701,0,5.5003852082409646
threaded,6,head,60,15,0.002193,0.002172,0,1.3750963021836506
threaded,6,head,120,15,0.008049,0.007366,0,2.7501926043856093
threaded,6,head,240,15,0.035224,0.035066,0,5.5003852082409646
threaded,7,base,60,15,0.002084,0.002050,0,1.3750963021836506
threaded,7,base,120,15,0.007058,0.007017,0,2.7501926043856093
threaded,7,base,240,15,0.034993,0.034609,0,5.5003852082409646
threaded,7,head,60,15,0.002200,0.002179,0,1.3750963021836506
threaded,7,head,120,15,0.007565,0.007274,0,2.7501926043856093
threaded,7,head,240,15,0.035113,0.034937,0,5.5003852082409646
threaded,8,base,60,15,0.002076,0.002057,0,1.3750963021836506
threaded,8,base,120,15,0.007088,0.007017,0,2.7501926043856093
threaded,8,base,240,15,0.034871,0.034738,0,5.5003852082409646
threaded,8,head,60,15,0.002250,0.002187,0,1.3750963021836506
threaded,8,head,120,15,0.007618,0.007302,0,2.7501926043856093
threaded,8,head,240,15,0.034994,0.034923,0,5.5003852082409646
threaded,9,base,60,15,0.002075,0.002055,0,1.3750963021836506
threaded,9,base,120,15,0.007158,0.007061,0,2.7501926043856093
threaded,9,base,240,15,0.034811,0.034743,0,5.5003852082409646
threaded,9,head,60,15,0.002184,0.002165,0,1.3750963021836506
threaded,9,head,120,15,0.007570,0.007281,0,2.7501926043856093
threaded,9,head,240,15,0.035154,0.034915,0,5.5003852082409646
