arm,rep,side,n,inner,median_s,min_s,flag,xnorm2
threaded,6,base,120,15,0.007083,0.007017,0,2.7501926043856093
threaded,6,base,240,15,0.034951,0.034679,0,5.5003852082409646
threaded,6,head,60,15,0.002190,0.002173,0,1.3750963021836506
threaded,6,head,120,15,0.007575,0.007203,0,2.7501926043856093
threaded,6,head,240,15,0.034957,0.034770,0,5.5003852082409646
threaded,7,base,60,15,0.002672,0.002069,0,1.3750963021836506
threaded,7,base,120,15,0.007047,0.007025,0,2.7501926043856093
threaded,7,base,240,15,0.034723,0.034662,0,5.5003852082409646
threaded,7,head,60,15,0.002186,0.002164,0,1.3750963021836506
threaded,7,head,120,15,0.007550,0.007276,0,2.7501926043856093
threaded,7,head,240,15,0.034899,0.034774,0,5.5003852082409646
threaded,8,base,60,15,0.002073,0.002053,0,1.3750963021836506
threaded,8,base,120,15,0.007080,0.007048,0,2.7501926043856093
threaded,8,base,240,15,0.034932,0.034696,0,5.5003852082409646
threaded,8,head,60,15,0.002224,0.002178,0,1.3750963021836506
threaded,8,head,120,15,0.007686,0.007311,0,2.7501926043856093
threaded,8,head,240,15,0.034961,0.034847,0,5.5003852082409646
threaded,9,base,60,15,0.002068,0.002048,0,1.3750963021836506
threaded,9,base,120,15,0.007048,0.007025,0,2.7501926043856093
threaded,9,base,240,15,0.035005,0.034740,0,5.5003852082409646
threaded,9,head,60,15,0.002176,0.002166,0,1.3750963021836506
threaded,9,head,120,15,0.007564,0.007212,0,2.7501926043856093
threaded,9,head,240,15,0.034827,0.034768,0,5.5003852082409646
