arm,rep,side,n,inner,median_s,min_s,flag,xnorm2
serial,9,base,240,15,0.037156,0.036817,0,5.5003852082409646
serial,9,head,60,15,0.002360,0.002349,0,1.3750963021836506
serial,9,head,120,15,0.007922,0.007590,0,2.7501926043856093
serial,9,head,240,15,0.037319,0.036795,0,5.5003852082409646
threaded,1,base,60,15,0.002420,0.002068,0,1.3750963021836506
threaded,1,base,120,15,0.007554,0.007088,0,2.7501926043856093
threaded,1,base,240,15,0.035705,0.035089,0,5.5003852082409646
threaded,1,head,60,15,0.002439,0.002200,0,1.3750963021836506
threaded,1,head,120,15,0.007792,0.007446,0,2.7501926043856093
threaded,1,head,240,15,0.036444,0.035856,0,5.5003852082409646
threaded,2,base,60,15,0.002158,0.002060,0,1.3750963021836506
threaded,2,base,120,15,0.007276,0.007105,0,2.7501926043856093
threaded,2,base,240,15,0.035962,0.034992,0,5.5003852082409646
threaded,2,head,60,15,0.002237,0.002212,0,1.3750963021836506
threaded,2,head,120,15,0.007849,0.007577,0,2.7501926043856093
threaded,2,head,240,15,0.036678,0.035678,0,5.5003852082409646
threaded,3,base,60,15,0.002129,0.002052,0,1.3750963021836506
threaded,3,base,120,15,0.007200,0.007080,0,2.7501926043856093
threaded,3,base,240,15,0.035842,0.034918,0,5.5003852082409646
threaded,3,head,60,15,0.002273,0.002204,0,1.3750963021836506
threaded,3,head,120,15,0.008299,0.007447,0,2.7501926043856093
threaded,3,head,240,15,0.036409,0.035259,0,5.5003852082409646
threaded,4,base,60,15,0.002143,0.002060,0,1.3750963021836506
threaded,4,base,120,15,0.007311,0.007087,0,2.7501926043856093
threaded,4,base,240,15,0.036139,0.035493,0,5.5003852082409646
threaded,4,head,60,15,0.002294,0.002220,0,1.3750963021836506
threaded,4,head,120,15,0.007925,0.007488,0,2.7501926043856093
threaded,4,head,240,15,0.036664,0.035851,0,5.5003852082409646
threaded,5,base,60,15,0.002674,0.002089,0,1.3750963021836506
threaded,5,base,120,15,0.007380,0.007027,0,2.7501926043856093
threaded,5,base,240,15,0.036953,0.035575,0,5.5003852082409646
threaded,5,head,60,15,0.002213,0.002201,0,1.3750963021836506
threaded,5,head,120,15,0.007744,0.007419,0,2.7501926043856093
threaded,5,head,240,15,0.036392,0.035564,0,5.5003852082409646
threaded,6,base,60,15,0.002132,0.002061,0,1.3750963021836506
threaded,6,base,120,15,0.007379,0.007079,0,2.7501926043856093
threaded,6,base,240,15,0.036188,0.034873,0,5.5003852082409646
threaded,6,head,60,15,0.002320,0.002237,0,1.3750963021836506
threaded,6,head,120,15,0.008070,0.007525,0,2.7501926043856093
threaded,6,head,240,15,0.036995,0.035308,0,5.5003852082409646
threaded,7,base,60,15,0.002292,0.002070,0,1.3750963021836506
threaded,7,base,120,15,0.007500,0.007086,0,2.7501926043856093
threaded,7,base,240,15,0.036407,0.035109,0,5.5003852082409646
threaded,7,head,60,15,0.002295,0.002207,0,1.3750963021836506
threaded,7,head,120,15,0.008220,0.007472,0,2.7501926043856093
threaded,7,head,240,15,0.035819,0.035076,0,5.5003852082409646
threaded,8,base,60,15,0.002083,0.002061,0,1.3750963021836506
threaded,8,base,120,15,0.007227,0.007068,0,2.7501926043856093
threaded,8,base,240,15,0.036074,0.034985,0,5.5003852082409646
threaded,8,head,60,15,0.002279,0.002221,0,1.3750963021836506
threaded,8,head,120,15,0.007929,0.007451,0,2.7501926043856093
threaded,8,head,240,15,0.037276,0.035847,0,5.5003852082409646
threaded,9,base,60,15,0.002247,0.002081,0,1.3750963021836506
threaded,9,base,120,15,0.007208,0.007116,0,2.7501926043856093
threaded,9,base,240,15,0.035809,0.034950,0,5.5003852082409646
threaded,9,head,60,15,0.002278,0.002213,0,1.3750963021836506
threaded,9,head,120,15,0.008107,0.007399,0,2.7501926043856093
threaded,9,head,240,15,0.036003,0.035104,0,5.5003852082409646
