arm,rep,side,n,inner,median_s,min_s,flag,xnorm2
threaded,6,base,120,15,0.007466,0.007113,0,2.7501926043856093
threaded,6,base,240,15,0.034153,0.033945,0,5.5003852082409646
threaded,6,head,60,15,0.002205,0.002177,0,1.3750963021836506
threaded,6,head,120,15,0.007570,0.007227,0,2.7501926043856093
threaded,6,head,240,15,0.035409,0.035038,0,5.5003852082409646
threaded,7,base,60,15,0.002175,0.002149,0,1.3750963021836506
threaded,7,base,120,15,0.007474,0.007110,0,2.7501926043856093
threaded,7,base,240,15,0.034110,0.033883,0,5.5003852082409646
threaded,7,head,60,15,0.002188,0.002167,0,1.3750963021836506
threaded,7,head,120,15,0.007551,0.007227,0,2.7501926043856093
threaded,7,head,240,15,0.035025,0.034805,0,5.5003852082409646
threaded,8,base,60,15,0.002183,0.002156,0,1.3750963021836506
threaded,8,base,120,15,0.007467,0.007106,0,2.7501926043856093
threaded,8,base,240,15,0.034448,0.033997,0,5.5003852082409646
threaded,8,head,60,15,0.002181,0.002161,0,1.3750963021836506
threaded,8,head,120,15,0.007630,0.007235,0,2.7501926043856093
threaded,8,head,240,15,0.035657,0.034771,0,5.5003852082409646
threaded,9,base,60,15,0.002169,0.002152,0,1.3750963021836506
threaded,9,base,120,15,0.007430,0.007152,0,2.7501926043856093
threaded,9,base,240,15,0.034485,0.033901,0,5.5003852082409646
threaded,9,head,60,15,0.002191,0.002166,0,1.3750963021836506
threaded,9,head,120,15,0.007589,0.007271,0,2.7501926043856093
threaded,9,head,240,15,0.034905,0.034786,0,5.5003852082409646
