path,class
src/linear/symmetric_factor_mkl.cpp,original
src/model/aggregate_declaration.cpp,original
src/model/nlp_adapter.cpp,original
src/model/nlp_model_aggregate.cpp,original
src/model/nlp_problem_model.cpp,original
src/model/nlp_solver.cpp,original
src/model/non_linear_program.cpp,derived
src/warmstart/continuation.cpp,original
src/warmstart/warm_start.cpp,original
tests/core/test_core_layering.cpp,original
tests/core/test_pattern_hash.cpp,original
tests/core/test_sparse_backend_link.cpp,original
tests/core/test_version.cpp,original
tests/golden_rig/audit/pardiso_recorder.cpp,original
tests/golden_rig/audit/pardiso_recorder.h,original
tests/golden_rig/audit/test_audit_shim.cpp,original
tests/golden_rig/expected_table.cpp,original
tests/golden_rig/expected_table.h,original
tests/golden_rig/fail_by_design_control.cpp,original
tests/golden_rig/recipes.cpp,original
tests/golden_rig/recipes.h,original
tests/golden_rig/report_main.cpp,original
tests/golden_rig/seam.h,original
tests/golden_rig/seam_native.cpp,original
tests/golden_rig/seam_psiopt.cpp,original
tests/golden_rig/seam_registry.cpp,original
tests/golden_rig/seam_sqp.cpp,original
tests/golden_rig/trace_support.cpp,original
tests/golden_rig/trace_support.h,original
tests/golden_rig/traces_interior_point.cpp,original
tests/golden_rig/traces_sqp.cpp,original
tests/install_smoke/main.cpp,original
tests/interior/adapter_fixture_functions.h,original
tests/interior/compile_fail/adapter_missing_objective.cpp,original
tests/interior/compile_fail/constraint_only_objective.cpp,original
tests/interior/compile_fail/constraint_unsupported_mixin.cpp,original
tests/interior/compile_fail/objective_unsupported_mixin.cpp,original
tests/interior/compile_fail/partial_objective_surface.cpp,original
tests/interior/compile_fail/unregistered_constraint.cpp,original
tests/interior/progress_measures_test_utils.h,original
tests/interior/solver_test_utils.h,original
tests/interior/test_acceptance_diagnostics.cpp,original
tests/interior/test_assembly_allocation.cpp,original
tests/interior/test_classic_merit_restoration.cpp,original
tests/interior/test_filter_acceptance.cpp,original
tests/interior/test_funnel_acceptance.cpp,original
tests/interior/test_jet_mkl_guard.cpp,original
tests/interior/test_kkt_factorization.cpp,original
tests/interior/test_kkt_factorization_faults.cpp,original
tests/interior/test_l1_restoration.cpp,original
tests/interior/test_merit_rules.cpp,original
tests/interior/test_monitored_governor.cpp,original
tests/interior/test_nlp_adapter.cpp,original
tests/interior/test_nlp_aggregate_contract.cpp,original
tests/interior/test_nlp_multiplier_seeding.cpp,original
tests/interior/test_nlp_problem_model.cpp,original
tests/interior/test_nlp_solver.cpp,original
tests/interior/test_proximal_restoration.cpp,original
tests/interior/test_recovery_dispatch_gate.cpp,original
tests/interior/test_solver_interface_adapter.cpp,original
tests/interior/test_switching_acceptance.cpp,original
tests/interior/test_watchdog.cpp,original
tests/linear/test_dense_symmetric_factor.cpp,original
tests/linear/test_dense_symmetric_factor_growth.cpp,original
tests/linear/test_fault_injection.cpp,original
tests/linear/test_symmetric_factor.cpp,original
tests/linear/test_symmetric_factor_evidence_invariants.cpp,original
tests/linear/test_symmetric_factor_pardiso_only_options.cpp,original
tests/model/support/fake_aggregate.cpp,original
tests/model/support/fake_aggregate.h,original
tests/model/test_aggregate_contract.cpp,original
tests/model/test_contract_flags.cpp,original
tests/model/test_identity_probe.cpp,original
tests/model/test_model_structure_key.cpp,original
tests/model/test_model_surface_kkt.cpp,original
tests/model/test_nlp_model_aggregate.cpp,original
tests/model/test_structure_epoch.cpp,original
tests/sqp/support/border_test_utils.h,original
tests/sqp/support/claim_stream_double.h,original
tests/sqp/support/dense_oracle.h,original
tests/sqp/support/derivative_check.h,original
tests/sqp/support/hs_problems.h,original
tests/sqp/support/hs_sweeps.h,original
tests/sqp/support/nlp_kkt_check.h,original
tests/sqp/support/parametric_families.h,original
tests/sqp/support/scale_problems.h,original
tests/sqp/support/ssn_fixtures.h,original
tests/sqp/test_accelerate_probes.cpp,original
tests/sqp/test_aggregate_eval_seam.cpp,original
tests/sqp/test_b1_gate.cpp,original
tests/sqp/test_bench_dump.cpp,original
tests/sqp/test_border_ops.cpp,original
tests/sqp/test_continuation.cpp,original
tests/sqp/test_corpus_cells.cpp,original
tests/sqp/test_dense_oracle.cpp,original
tests/sqp/test_eqp_refine_ab.cpp,original
