kind,symbol,file,line,text
parameter_read,iparm_[17],tycho/psiopt/include/tycho/detail/solvers/linear/pardiso_interface.h,255,mem_ = iparm_[17];
parameter_read,iparm_[21],tycho/psiopt/include/tycho/detail/solvers/linear/pardiso_interface.h,274,peigs_ = iparm_[21];
parameter_read,iparm_[22],tycho/psiopt/include/tycho/detail/solvers/linear/pardiso_interface.h,275,neigs_ = iparm_[22];
parameter_read,iparm_[13],tycho/psiopt/include/tycho/detail/solvers/linear/pardiso_interface.h,276,ppiv_ = iparm_[13];
parameter_read,iparm_[18],tycho/psiopt/include/tycho/detail/solvers/linear/pardiso_interface.h,277,flops_ = iparm_[18];
parameter_read,iparm_[17],tycho/psiopt/include/tycho/detail/solvers/linear/pardiso_interface.h,278,mem_ = iparm_[17];
parameter_read,iparm_[21],tycho/psiopt/include/tycho/detail/solvers/linear/pardiso_interface.h,335,peigs_ = iparm_[21];
parameter_read,iparm_[22],tycho/psiopt/include/tycho/detail/solvers/linear/pardiso_interface.h,336,neigs_ = iparm_[22];
parameter_read,iparm_[13],tycho/psiopt/include/tycho/detail/solvers/linear/pardiso_interface.h,337,ppiv_ = iparm_[13];
parameter_read,iparm_[18],tycho/psiopt/include/tycho/detail/solvers/linear/pardiso_interface.h,338,flops_ = iparm_[18];
parameter_read,iparm_[17],tycho/psiopt/include/tycho/detail/solvers/linear/pardiso_interface.h,339,mem_ = iparm_[17];
parameter_read,iparm_[21],tycho/psiopt/include/tycho/detail/solvers/linear/pardiso_interface.h,353,peigs_ = iparm_[21];
parameter_read,iparm_[22],tycho/psiopt/include/tycho/detail/solvers/linear/pardiso_interface.h,354,neigs_ = iparm_[22];
parameter_read,iparm_[13],tycho/psiopt/include/tycho/detail/solvers/linear/pardiso_interface.h,355,ppiv_ = iparm_[13];
parameter_read,iparm_[18],tycho/psiopt/include/tycho/detail/solvers/linear/pardiso_interface.h,356,flops_ = iparm_[18];
parameter_read,iparm_[17],tycho/psiopt/include/tycho/detail/solvers/linear/pardiso_interface.h,357,mem_ = iparm_[17];
parameter_read,iparm_[0],tycho/psiopt/include/tycho/detail/solvers/linear/pardiso_interface.h,368,if (iparm_[0] == 0) // Factorization was not computed
parameter_read,iparm[7],tycho/psiopt/include/tycho/detail/solvers/linear/pardiso_interface.h,612,int iterref_ = 2; // iparm[7]
parameter_read,iparm[12],tycho/psiopt/include/tycho/detail/solvers/psiopt.h,402,// MKL Pardiso weighted matching (iparm[12]) / MPS scaling (iparm[10]); 0/1 flags.
phase_call,pardiso,tycho/psiopt/include/tycho/detail/solvers/linear/pardiso_interface.h,48,::pardiso(pt; &maxfct; &mnum; &type; &phase; &n; a; ia; ja; perm; &nrhs; iparm; &msglvl; b;
phase_call,pardiso_64,tycho/psiopt/include/tycho/detail/solvers/linear/pardiso_interface.h,60,::pardiso_64(pt; &maxfct; &mnum; &type; &phase; &n; a; ia; ja; perm; &nrhs; iparm; &msglvl;
accelerate_call,SparseFactorization,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,50,template <typename MatrixType_; int UpLo_; SparseFactorization_t Solver_; bool EnforceSquare_>
accelerate_call,SparseSolverConcept,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,62,* \sa \ref TutorialSparseSolverConcept; class AccelerateLLT
accelerate_call,SparseFactorizationCholesky,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,66,AccelerateImpl<MatrixType; UpLo | Symmetric; SparseFactorizationCholesky; true>;
accelerate_call,SparseSolverConcept,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,77,* \sa \ref TutorialSparseSolverConcept; class AccelerateLDLT
accelerate_call,SparseFactorizationLDLT,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,80,using AccelerateLDLT = AccelerateImpl<MatrixType; UpLo | Symmetric; SparseFactorizationLDLT; true>;
accelerate_call,SparseSolverConcept,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,92,* \sa \ref TutorialSparseSolverConcept; class AccelerateLDLTUnpivoted
accelerate_call,SparseFactorizationLDLTUnpivoted,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,96,AccelerateImpl<MatrixType; UpLo | Symmetric; SparseFactorizationLDLTUnpivoted; true>;
accelerate_call,SparseSolverConcept,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,108,* \sa \ref TutorialSparseSolverConcept; class AccelerateLDLTSBK
accelerate_call,SparseFactorizationLDLTSBK,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,112,AccelerateImpl<MatrixType; UpLo | Symmetric; SparseFactorizationLDLTSBK; true>;
accelerate_call,SparseSolverConcept,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,124,* \sa \ref TutorialSparseSolverConcept; class AccelerateLDLTTPP
accelerate_call,SparseFactorizationLDLTTPP,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,128,AccelerateImpl<MatrixType; UpLo | Symmetric; SparseFactorizationLDLTTPP; true>;
accelerate_call,SparseSolverConcept,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,138,* \sa \ref TutorialSparseSolverConcept; class AccelerateQR
accelerate_call,SparseFactorizationQR,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,141,using AccelerateQR = AccelerateImpl<MatrixType; 0; SparseFactorizationQR; false>;
accelerate_call,SparseSolverConcept,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,152,* \sa \ref TutorialSparseSolverConcept; class AccelerateCholeskyAtA
accelerate_call,SparseFactorizationCholeskyAtA,tycho/psiopt/include/tycho/detail/solvers/linear/accelerate_interface.h,155,using AccelerateCholeskyAtA = AccelerateImpl<MatrixType; 0; SparseFactorizationCholeskyAtA; false>;
