# tycho_sqp_corpus provenance
# binary: 8ed65baa18cf
# budget_table_hash: 0x357aee91dee27391
# invocation: /home/ghecht/Projects/tycho_sqp/build/bench/tycho_sqp_corpus --from-csv f7_n10000_bound_activity.csv,f7_n10000_bound_corrupted.csv,f7_n10000_bound_neutral.csv,f7_n10000_bound_physics.csv,f7_n10000_bound_warm.csv,f7_n10000_path_activity.csv,f7_n10000_path_corrupted.csv,f7_n10000_path_neutral.csv,f7_n10000_path_physics.csv,f7_n10000_path_warm.csv,f7_n1000_bound_activity.csv,f7_n1000_bound_corrupted.csv,f7_n1000_bound_neutral.csv,f7_n1000_bound_physics.csv,f7_n1000_bound_warm.csv,f7_n1000_path_activity.csv,f7_n1000_path_corrupted.csv,f7_n1000_path_neutral.csv,f7_n1000_path_physics.csv,f7_n1000_path_warm.csv,f7_n20000_bound_activity.csv,f7_n20000_bound_corrupted.csv,f7_n20000_bound_neutral.csv,f7_n20000_bound_physics.csv,f7_n20000_bound_warm.csv,f7_n20000_path_activity.csv,f7_n20000_path_corrupted.csv,f7_n20000_path_neutral.csv,f7_n20000_path_physics.csv,f7_n20000_path_warm.csv,f7_n2000_bound_activity.csv,f7_n2000_bound_corrupted.csv,f7_n2000_bound_neutral.csv,f7_n2000_bound_physics.csv,f7_n2000_bound_warm.csv,f7_n2000_path_activity.csv,f7_n2000_path_corrupted.csv,f7_n2000_path_neutral.csv,f7_n2000_path_physics.csv,f7_n2000_path_warm.csv,f7_n5000_bound_activity.csv,f7_n5000_bound_corrupted.csv,f7_n5000_bound_neutral.csv,f7_n5000_bound_physics.csv,f7_n5000_bound_warm.csv,f7_n5000_path_activity.csv,f7_n5000_path_corrupted.csv,f7_n5000_path_neutral.csv,f7_n5000_path_physics.csv,f7_n5000_path_warm.csv,f7_n750_path_neutral_control.csv,f7_n800_path_activity.csv,f7_n800_path_corrupted.csv,f7_n800_path_neutral.csv,f7_n800_path_physics.csv,f7_n800_path_warm.csv,f7_n825_path_neutral_control.csv --csv /home/ghecht/Projects/tycho_sqp/docs/notes/data/2026-08-08-gate-battery/ssn_battery.csv --score-gates
# MKL_NUM_THREADS: 1
# host: fedora
# generated: 2026-08-07T16:30:39Z
cell_id,family,n_nodes,window,taxonomy,degenerate,status,factorizations,qp_minors,escapes,qp_subproblems,qp_fact_per_qp,kkt_residual,wall_s,kkt_verdict,kkt_stationarity,kkt_primal,kkt_dual_sign,kkt_complementarity,dual_scale,x_scale,neg_ineq_duals,ssn_iters,ssn_bulk_flips,ssn_backtracks,ssn_prox_updates,ssn_uncertain_peak,ssn_refinements,ssn_refine_refused,ssn_refine_facts,ssn_refine_neg_duals
f7_n2000_bound_activity,F7,2000,bound,activity,0,Optimal,3,0,0,1,3,2.168086708e-16,0.134403326,ok,2.168086708e-16,1.105344115e-16,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,1,0,0,0,0,1,0,1,0
f7_n2000_bound_warm,F7,2000,bound,warm,0,Optimal,3,0,0,1,3,8.394888483e-15,0.060898475,ok,8.394888483e-15,5.413313027e-15,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,1,0,0,0,0,1,0,1,0
f7_n2000_path_neutral,F7,2000,path,neutral,1,engine_error,-1,-1,-1,-1,,-1.0,2700.000000000,unchecked,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f7_n2000_path_physics,F7,2000,path,physics,1,Optimal,53,1394,1,2,8;20,2.290379102e-10,43.877727384,ok,2.290379102e-10,7.332123797e-11,2.438548420e-07,1.099746547e-16,1.000000000e+00,1.000000000e+00,3,43,26,134,2,0,1,0,1,3
f7_n2000_path_corrupted,F7,2000,path,corrupted,1,Optimal,43,0,0,3,17;21;5,1.046638332e-10,0.707655342,ok,5.994494614e-12,1.046638332e-10,0.000000000e+00,1.486838311e-16,1.000000000e+00,1.000000000e+00,0,37,27,50,2,0,3,0,3,0
f7_n2000_path_activity,F7,2000,path,activity,1,Optimal,55,1503,1,2,7;23,3.049783511e-09,42.186246330,ok,3.049783511e-09,8.860623346e-11,2.460938785e-07,1.062284890e-14,1.000000000e+00,1.000000000e+00,5,46,21,146,2,0,1,0,1,5
f7_n2000_path_warm,F7,2000,path,warm,1,Optimal,16,0,0,2,5;11,3.931679927e-10,0.285376262,ok,3.931679927e-10,5.470401909e-11,2.310851461e-07,1.146448088e-15,1.000000000e+00,1.000000000e+00,30,12,9,10,0,0,2,0,2,36
f7_n5000_bound_neutral,F7,5000,bound,neutral,0,Optimal,3,0,0,1,3,3.150169372e-13,0.340074443,ok,3.150169372e-13,9.692247005e-14,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,1,0,0,0,0,1,0,1,0
f7_n5000_bound_physics,F7,5000,bound,physics,0,Optimal,3,0,0,1,3,5.167993121e-16,0.342719603,ok,5.167993121e-16,1.124182128e-16,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,1,0,0,0,0,1,0,1,0
f7_n5000_bound_corrupted,F7,5000,bound,corrupted,0,Optimal,3,0,0,1,3,4.592201604e-14,0.163021036,ok,4.592201604e-14,1.352677735e-14,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,1,0,0,0,0,1,0,1,0
f7_n5000_bound_activity,F7,5000,bound,activity,0,Optimal,3,0,0,1,3,5.167993121e-16,0.354557043,ok,5.167993121e-16,1.124182128e-16,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,1,0,0,0,0,1,0,1,0
f7_n5000_bound_warm,F7,5000,bound,warm,0,Optimal,3,0,0,1,3,2.098299057e-14,0.163013546,ok,2.098299057e-14,1.351100221e-14,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,1,0,0,0,0,1,0,1,0
f7_n5000_path_neutral,F7,5000,path,neutral,0,engine_error,-1,-1,-1,-1,,-1.0,3600.000000000,unchecked,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f7_n5000_path_physics,F7,5000,path,physics,0,Optimal,50,3654,1,2,18;7,1.450679404e-10,305.481806006,ok,1.450679404e-10,3.049782649e-13,0.000000000e+00,4.251108679e-17,1.000000000e+00,1.000000000e+00,0,30,20,120,1,0,1,0,1,0
f7_n5000_path_corrupted,F7,5000,path,corrupted,0,engine_error,-1,-1,-1,-1,,-1.0,3600.000000000,unchecked,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f7_n5000_path_activity,F7,5000,path,activity,0,Optimal,24,0,0,2,17;7,1.890160348e-09,1.232643839,ok,1.890160348e-09,2.878031147e-11,0.000000000e+00,3.959486105e-15,1.000000000e+00,1.000000000e+00,0,20,15,29,1,0,2,0,2,0
f7_n5000_path_warm,F7,5000,path,warm,0,engine_error,-1,-1,-1,-1,,-1.0,3600.000000000,unchecked,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f7_n10000_bound_neutral,F7,10000,bound,neutral,0,Optimal,3,0,0,1,3,6.300386632e-13,0.725099978,ok,6.300386632e-13,1.938268610e-13,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,1,0,0,0,0,1,0,1,0
f7_n10000_bound_physics,F7,10000,bound,physics,0,Optimal,3,0,0,1,3,1.016558709e-15,0.723394466,ok,1.016558709e-15,1.126316651e-16,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,1,0,0,0,0,1,0,1,0
f7_n10000_bound_corrupted,F7,10000,bound,corrupted,0,Optimal,3,0,0,1,3,9.189170502e-14,0.337193665,ok,9.189170502e-14,2.698329841e-14,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,1,0,0,0,0,1,0,1,0
f7_n10000_bound_activity,F7,10000,bound,activity,0,Optimal,3,0,0,1,3,1.016558709e-15,0.725655376,ok,1.016558709e-15,1.126316651e-16,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,1,0,0,0,0,1,0,1,0
f7_n10000_bound_warm,F7,10000,bound,warm,0,Optimal,3,0,0,1,3,4.196023677e-14,0.335768121,ok,4.196023677e-14,2.696955615e-14,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,1,0,0,0,0,1,0,1,0
f7_n10000_path_neutral,F7,10000,path,neutral,0,dnf_budget,-1,-1,-1,-1,,-1.0,3600.000000000,unchecked,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f7_n10000_path_physics,F7,10000,path,physics,0,dnf_budget,-1,-1,-1,-1,,-1.0,3600.000000000,unchecked,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f7_n10000_path_corrupted,F7,10000,path,corrupted,0,dnf_setup,-1,-1,-1,-1,,-1.0,3600.000000000,unchecked,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f7_n10000_path_activity,F7,10000,path,activity,0,Optimal,18,0,0,2,11;7,1.911142192e-09,2.025963581,ok,1.911142192e-09,3.067734955e-11,0.000000000e+00,2.107187302e-15,1.000000000e+00,1.000000000e+00,0,14,9,4,0,0,2,0,2,0
f7_n10000_path_warm,F7,10000,path,warm,0,dnf_setup,-1,-1,-1,-1,,-1.0,3600.000000000,unchecked,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f7_n20000_bound_neutral,F7,20000,bound,neutral,0,Optimal,3,0,0,1,3,1.259925400e-12,1.546632962,ok,1.259925400e-12,3.876253973e-13,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,1,0,0,0,0,1,0,1,0
f7_n20000_bound_physics,F7,20000,bound,physics,0,Optimal,3,0,0,1,3,2.015851318e-15,1.527544832,ok,2.015851318e-15,1.119235455e-16,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,1,0,0,0,0,1,0,1,0
f7_n20000_bound_corrupted,F7,20000,bound,corrupted,0,Optimal,3,0,0,1,3,1.838067080e-13,0.719244683,ok,1.838067080e-13,5.392297123e-14,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,1,0,0,0,0,1,0,1,0
f7_n20000_bound_activity,F7,20000,bound,activity,0,Optimal,3,0,0,1,3,2.015851318e-15,1.533181758,ok,2.015851318e-15,1.119235455e-16,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,1,0,0,0,0,1,0,1,0
f7_n20000_bound_warm,F7,20000,bound,warm,0,Optimal,3,0,0,1,3,8.390643321e-14,0.718918384,ok,8.390643321e-14,5.392756554e-14,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,1,0,0,0,0,1,0,1,0
f7_n20000_path_neutral,F7,20000,path,neutral,0,dnf_budget,-1,-1,-1,-1,,-1.0,3600.000000000,unchecked,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f7_n20000_path_physics,F7,20000,path,physics,0,dnf_budget,-1,-1,-1,-1,,-1.0,3600.000000000,unchecked,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f7_n20000_path_corrupted,F7,20000,path,corrupted,0,dnf_setup,-1,-1,-1,-1,,-1.0,3600.000000000,unchecked,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f7_n20000_path_activity,F7,20000,path,activity,0,Optimal,19,0,0,2,15;4,1.241342883e-09,4.923442579,ok,1.241342883e-09,1.326482257e-10,3.507477058e-06,2.229897097e-15,1.000000000e+00,1.000000000e+00,2135,15,11,15,1,0,2,0,2,2135
f7_n20000_path_warm,F7,20000,path,warm,0,dnf_setup,-1,-1,-1,-1,,-1.0,3600.000000000,unchecked,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f7_n800_path_neutral,F7,800,path,neutral,1,Optimal,43,0,0,4,3;27;9;4,5.792566427e-10,0.312813752,ok,9.548392832e-11,5.792566427e-10,7.587901540e-07,1.598111085e-13,1.000000000e+00,1.000000000e+00,2,35,14,102,1,0,3,1,4,2
f7_n800_path_physics,F7,800,path,physics,1,Optimal,38,479,1,2,5;8,9.288310871e-10,5.773022811,ok,9.288310871e-10,5.935207881e-10,1.073922761e-06,2.600688313e-15,1.000000000e+00,1.000000000e+00,1,31,21,53,1,0,1,0,1,1
f7_n800_path_corrupted,F7,800,path,corrupted,1,Optimal,28,0,0,3,13;11;4,5.679290371e-10,0.185079118,ok,8.548770524e-12,5.679290371e-10,5.861227797e-07,2.543874779e-16,1.000000000e+00,1.000000000e+00,1,22,17,9,0,0,3,0,3,3
f7_n800_path_activity,F7,800,path,activity,1,Optimal,39,383,1,3,2;8;4,1.108432346e-09,4.160259845,ok,1.213245850e-14,1.108432346e-09,0.000000000e+00,2.147459050e-15,1.000000000e+00,1.000000000e+00,0,31,15,177,2,0,2,0,2,1
f7_n800_path_warm,F7,800,path,warm,1,Optimal,24,0,0,2,11;13,5.017598337e-09,0.159056373,ok,1.759597699e-09,5.017598337e-09,0.000000000e+00,1.241565370e-14,1.000000000e+00,1.000000000e+00,0,20,12,21,0,0,0,2,2,0
f7_n750_path_neutral_control,F7,750,path,neutral,0,Optimal,38,0,0,4,3;23;8;4,7.142519909e-10,0.271486211,ok,9.449972693e-11,7.142519909e-10,8.236715074e-07,1.709130126e-13,1.000000000e+00,1.000000000e+00,3,30,14,57,1,0,3,1,4,6
f7_n825_path_neutral_control,F7,825,path,neutral,0,Optimal,42,0,0,4,3;24;11;4,5.181985951e-10,0.330639226,ok,1.066598750e-10,5.181985951e-10,4.713567642e-07,1.541353449e-13,1.000000000e+00,1.000000000e+00,1,32,16,100,3,0,3,1,4,4
