# M6 W1 T9 fix round 1 -- THE kIpm ARM's SCHEMA-76 BASELINE, a DECLARED
# artifact (CLAUDE.md section 7). The 27-cell U0 replay set under --engine ipm,
# every one of the 76 columns including the 39 IpqpCounters fields T9 appended.
# It is a NEW artifact: no committed baseline was regenerated to make it.
# Two rows are its point -- f7_n800_path_warm 60/62 and f7_n1000_path_warm
# 46/48 barrier iterations/factorizations, the warm-restart acceptance numbers
# T7 registered and T9 owed a pin for.
# SOLO, one process alone on the machine, taskset -c 2, MKL_NUM_THREADS=1,
# OMP_NUM_THREADS=1; the SMT sibling (cpu10) measured 1.11% busy across the
# window, cpu2 98.81%. Machine: AMD Ryzen 7 5800X3D, Fedora, clang 22.1.8,
# MKL from /opt/intel/oneapi/mkl/latest. Wall_s is INFORMATIONAL.
# hven_sqp_corpus provenance
# binary: 3b67e2a0b987
# schema: 76
# budget_table_hash: 0x357aee91dee27391
# invocation: .scratch/w1-t9f1/rel/bench/hven_sqp_corpus --engine ipm --cells f7_n1000_bound_neutral,f7_n1000_bound_physics,f7_n1000_bound_corrupted,f7_n1000_bound_activity,f7_n1000_bound_warm,f7_n2000_bound_neutral,f7_n2000_bound_physics,f7_n2000_bound_corrupted,f7_n2000_bound_activity,f7_n2000_bound_warm,f7_n5000_bound_neutral,f7_n5000_bound_physics,f7_n5000_bound_corrupted,f7_n5000_bound_activity,f7_n5000_bound_warm,f7_n10000_bound_neutral,f7_n10000_bound_physics,f7_n10000_bound_corrupted,f7_n10000_bound_activity,f7_n10000_bound_warm,f7_n20000_bound_neutral,f7_n20000_bound_physics,f7_n20000_bound_corrupted,f7_n20000_bound_activity,f7_n20000_bound_warm,f7_n1000_path_warm,f7_n800_path_warm --csv .scratch/w1-t9f1/replay/ipm_baseline.csv
# MKL_NUM_THREADS: 1
# host: fedora
# generated: 2026-09-01T11:50:58Z
cell_id,family,n_nodes,window,taxonomy,degenerate,status,factorizations,qp_minors,escapes,qp_subproblems,qp_fact_per_qp,kkt_residual,wall_s,kkt_verdict,kkt_stationarity,kkt_primal,kkt_dual_sign,kkt_complementarity,dual_scale,x_scale,neg_ineq_duals,ssn_iters,ssn_bulk_flips,ssn_backtracks,ssn_prox_updates,ssn_uncertain_peak,ssn_refinements,ssn_refine_refused,ssn_refine_facts,ssn_refine_neg_duals,esc_budget,esc_singular,esc_no_contraction,esc_infeasible_suspect,esc_indefinite,esc_gate_refused,ipqp_iters,ipqp_factorizations,ipqp_symbolic_analyses,ipqp_solves,ipqp_pattern_verifies,ipqp_rho_demanded_max,ipqp_rho_demanded_last,ipqp_inertia_retries,ipqp_iters_at_elevated_rho,ipqp_ladder_reclimbs,ipqp_pivot_reroute_primal,ipqp_pivot_reroute_dual_fallback,ipqp_iters_ladder_armed_no_advance,ipqp_final_inertia_read,ipqp_reg_decreases,ipqp_reg_increases,ipqp_prox_center_updates,ipqp_restart_repairs,ipqp_restart_shift_max,ipqp_mu_adopted,ipqp_warm_restart_abandoned,ipqp_declined_pinned,ipqp_tier_retired_after,ipqp_face_uncertain,ipqp_refine_accepted,ipqp_refine_refused,ipqp_to_refine,ipqp_to_ssn,ipqp_to_walk,ipqp_escapes,ipqp_escape_budget,ipqp_escape_stall,ipqp_escape_indefinite,ipqp_escape_numerical,ipqp_escape_infeasible_suspect,ipqp_alpha_p_min,ipqp_alpha_d_min,ipqp_read_kept_tight_sides,ipqp_read_barrier_noise_sides
f7_n5000_bound_neutral,F7,5000,bound,neutral,0,Optimal,13,0,0,1,13,3.150169743e-13,0.426080818,ok,3.150169743e-13,9.692247005e-14,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,1,22,0,0.000000000e+00,0.000000000e+00,0,0,0,0,0,0,0,7,0,7,0,0.000000000e+00,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000000000e+00,9.829996301e-01,0,0
f7_n5000_bound_physics,F7,5000,bound,physics,0,Optimal,11,0,0,1,11,5.167818090e-16,0.389542807,ok,5.167818090e-16,1.110891234e-16,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,1,18,0,0.000000000e+00,0.000000000e+00,0,0,0,0,0,0,0,6,0,6,0,0.000000000e+00,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000000000e+00,8.375073063e-01,0,0
f7_n5000_bound_corrupted,F7,5000,bound,corrupted,0,Optimal,12,0,0,1,12,4.592198241e-14,0.377808914,ok,4.592198241e-14,1.351772635e-14,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,1,20,0,0.000000000e+00,0.000000000e+00,0,0,0,0,0,0,0,7,0,7,0,0.000000000e+00,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000000000e+00,7.771118463e-01,0,0
f7_n5000_bound_activity,F7,5000,bound,activity,0,Optimal,11,0,0,1,11,5.167818090e-16,0.390192984,ok,5.167818090e-16,1.110891234e-16,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,1,18,0,0.000000000e+00,0.000000000e+00,0,0,0,0,0,0,0,6,0,6,0,0.000000000e+00,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000000000e+00,8.375073063e-01,0,0
f7_n5000_bound_warm,F7,5000,bound,warm,0,Optimal,11,0,0,1,11,2.098298050e-14,0.357702383,ok,2.098298050e-14,1.353613753e-14,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,1,18,0,0.000000000e+00,0.000000000e+00,0,0,0,0,0,0,0,6,0,6,0,0.000000000e+00,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000000000e+00,8.378789826e-01,0,0
f7_n10000_bound_neutral,F7,10000,bound,neutral,0,Optimal,13,0,0,1,13,6.300386629e-13,0.895791151,ok,6.300386629e-13,1.938683814e-13,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,1,22,0,0.000000000e+00,0.000000000e+00,0,0,0,0,0,0,0,7,0,7,0,0.000000000e+00,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000000000e+00,9.829484485e-01,0,0
f7_n10000_bound_physics,F7,10000,bound,physics,0,Optimal,11,0,0,1,11,1.016559106e-15,0.806620808,ok,1.016559106e-15,1.151644575e-16,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,1,18,0,0.000000000e+00,0.000000000e+00,0,0,0,0,0,0,0,6,0,6,0,0.000000000e+00,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000000000e+00,8.375045084e-01,0,0
f7_n10000_bound_corrupted,F7,10000,bound,corrupted,0,Optimal,12,0,0,1,12,9.189172314e-14,0.780343407,ok,9.189172314e-14,2.698456180e-14,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,1,20,0,0.000000000e+00,0.000000000e+00,0,0,0,0,0,0,0,7,0,7,0,0.000000000e+00,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000000000e+00,7.772514989e-01,0,0
f7_n10000_bound_activity,F7,10000,bound,activity,0,Optimal,11,0,0,1,11,1.016559106e-15,0.799932951,ok,1.016559106e-15,1.151644575e-16,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,1,18,0,0.000000000e+00,0.000000000e+00,0,0,0,0,0,0,0,6,0,6,0,0.000000000e+00,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000000000e+00,8.375045084e-01,0,0
f7_n10000_bound_warm,F7,10000,bound,warm,0,Optimal,12,0,0,1,12,4.196022966e-14,0.780292408,ok,4.196022966e-14,2.701549016e-14,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,1,20,0,0.000000000e+00,0.000000000e+00,0,0,0,0,0,0,0,7,0,7,0,0.000000000e+00,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000000000e+00,8.378644382e-01,0,0
f7_n20000_bound_neutral,F7,20000,bound,neutral,0,Optimal,13,0,0,1,13,1.259925399e-12,1.811554483,ok,1.259925399e-12,3.876288913e-13,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,1,22,0,0.000000000e+00,0.000000000e+00,0,0,0,0,0,0,0,7,0,7,0,0.000000000e+00,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000000000e+00,9.829229186e-01,0,0
f7_n20000_bound_physics,F7,20000,bound,physics,0,Optimal,11,0,0,1,11,2.015847636e-15,1.671582690,ok,2.015847636e-15,1.365272909e-16,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,1,18,0,0.000000000e+00,0.000000000e+00,0,0,0,0,0,0,0,6,0,6,0,0.000000000e+00,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000000000e+00,8.375043283e-01,0,0
f7_n20000_bound_corrupted,F7,20000,bound,corrupted,0,Optimal,13,0,0,1,13,1.838068087e-13,1.714074362,ok,1.838068087e-13,5.392944711e-14,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,1,22,0,0.000000000e+00,0.000000000e+00,0,0,0,0,0,0,0,7,0,7,0,0.000000000e+00,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000000000e+00,7.770689153e-01,0,0
f7_n20000_bound_activity,F7,20000,bound,activity,0,Optimal,11,0,0,1,11,2.015847636e-15,1.668686605,ok,2.015847636e-15,1.365272909e-16,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,1,18,0,0.000000000e+00,0.000000000e+00,0,0,0,0,0,0,0,6,0,6,0,0.000000000e+00,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000000000e+00,8.375043283e-01,0,0
f7_n20000_bound_warm,F7,20000,bound,warm,0,Optimal,12,0,0,1,12,8.390643067e-14,1.631129469,ok,8.390643067e-14,5.394909349e-14,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.000000000e+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,1,20,0,0.000000000e+00,0.000000000e+00,0,0,0,0,0,0,0,7,0,7,0,0.000000000e+00,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000000000e+00,8.378571822e-01,0,0
f7_n1000_path_warm,F7,1000,path,warm,0,Optimal,59,0,0,2,41;9,4.095878081e-10,0.333515452,ok,3.492459996e-07,4.095878081e-10,0.000000000e+00,2.159562809e-15,1.000000000e+00,1.000000000e+00,0,7,5,6,0,0,1,0,1,2,0,0,0,0,0,0,46,48,1,92,1,0.000000000e+00,0.000000000e+00,0,0,0,0,0,0,0,11,0,11,1,1.196047157e-07,0,0,0,0,36,1,1,2,1,0,0,0,0,0,0,0,2.915644386e-01,1.796070384e-03,0,0
f7_n800_path_warm,F7,800,path,warm,1,Optimal,67,0,0,2,54;3,4.212497310e-10,0.288048376,ok,4.212497310e-10,4.285150013e-11,0.000000000e+00,1.295714318e-15,1.000000000e+00,1.000000000e+00,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,60,62,1,120,1,0.000000000e+00,0.000000000e+00,0,0,0,0,0,0,0,11,0,11,1,9.700790199e-08,0,0,0,0,3,1,1,2,1,0,0,0,0,0,0,0,9.322432091e-02,2.563684954e-04,0,0
