Filename                                                                                      Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
home/ghecht/Projects/hven/include/hven/detail/globalization/funnel_acceptance.h                     4                 0   100.00%           4                 0   100.00%           6                 0   100.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/detail/globalization/globalization_mechanism.h               2                 1    50.00%           2                 1    50.00%          20                19     5.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/detail/globalization/inertia_regularization.h                2                 2     0.00%           2                 2     0.00%           6                 6     0.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/detail/globalization/l1_restoration.h                       31                 2    93.55%          31                 2    93.55%          38                 2    94.74%           0                 0         -
home/ghecht/Projects/hven/include/hven/detail/globalization/merit_acceptance.h                      5                 0   100.00%           4                 0   100.00%           7                 0   100.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/detail/globalization/modern_merit.h                         14                 2    85.71%          13                 2    84.62%          21                 2    90.48%           0                 0         -
home/ghecht/Projects/hven/include/hven/detail/globalization/monitored_governor.h                    6                 0   100.00%           6                 0   100.00%           6                 0   100.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/detail/globalization/proximal_restoration.h                 10                 0   100.00%          10                 0   100.00%          10                 0   100.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/detail/globalization/recovery_chain.h                        5                 0   100.00%           3                 0   100.00%           5                 0   100.00%           4                 0   100.00%
home/ghecht/Projects/hven/include/hven/detail/globalization/restoration.h                          27                17    37.04%          21                17    19.05%         139               122    12.23%           4                 0   100.00%
home/ghecht/Projects/hven/include/hven/detail/globalization/soc.h                                  21                21     0.00%           4                 4     0.00%          28                28     0.00%          11                11     0.00%
home/ghecht/Projects/hven/include/hven/detail/globalization/sqp/elastic.h                           1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/detail/globalization/sqp/globalization.h                     9                 0   100.00%           6                 0   100.00%          13                 0   100.00%           2                 0   100.00%
home/ghecht/Projects/hven/include/hven/detail/globalization/switching_acceptance.h                  5                 0   100.00%           5                 0   100.00%           8                 0   100.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/detail/globalization/watchdog.h                             47                 6    87.23%          15                 2    86.67%          76                 7    90.79%          24                 6    75.00%
home/ghecht/Projects/hven/include/hven/detail/interior/aggregate_views.h                            8                 0   100.00%           5                 0   100.00%          37                 0   100.00%           2                 0   100.00%
home/ghecht/Projects/hven/include/hven/detail/interior/barrier_math.h                              67                10    85.07%          10                 1    90.00%         132                16    87.88%          40                 7    82.50%
home/ghecht/Projects/hven/include/hven/detail/interior/bound_set.h                                  4                 1    75.00%           2                 1    50.00%           9                 8    11.11%           4                 1    75.00%
home/ghecht/Projects/hven/include/hven/detail/interior/constraint_function.h                        9                 8    11.11%           9                 8    11.11%          35                31    11.43%           0                 0         -
home/ghecht/Projects/hven/include/hven/detail/interior/eval_error_log.h                             3                 3     0.00%           3                 3     0.00%           9                 9     0.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/detail/interior/fixed_variable_row.h                        37                13    64.86%          15                 8    46.67%          90                62    31.11%          14                 5    64.29%
home/ghecht/Projects/hven/include/hven/detail/interior/indexing_data.h                             45                12    73.33%          20                10    50.00%         129                85    34.11%          14                 2    85.71%
home/ghecht/Projects/hven/include/hven/detail/interior/kkt_factorization.h                         12                 1    91.67%          12                 1    91.67%          12                 1    91.67%           0                 0         -
home/ghecht/Projects/hven/include/hven/detail/interior/kkt_vector.h                                99                20    79.80%          42                 0   100.00%          48                 0   100.00%          24                12    50.00%
home/ghecht/Projects/hven/include/hven/detail/interior/objective_function.h                         7                 6    14.29%           7                 6    14.29%          27                23    14.81%           0                 0         -
home/ghecht/Projects/hven/include/hven/detail/interior/sizing_specs.h                               1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/detail/interior/solver_function_base.h                       8                 1    87.50%           5                 1    80.00%          29                14    51.72%           2                 0   100.00%
home/ghecht/Projects/hven/include/hven/detail/interior/typedefs/super_scalar_traits.h               3                 3     0.00%           3                 3     0.00%           9                 9     0.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/detail/interior/utils/math_functions.h                       2                 2     0.00%           2                 2     0.00%          25                25     0.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/detail/interior/utils/thread_pool.h                        171                67    60.82%          34                10    70.59%         333               150    54.95%          90                38    57.78%
home/ghecht/Projects/hven/include/hven/detail/interior/utils/timer.h                               26                26     0.00%           5                 5     0.00%          47                47     0.00%          14                14     0.00%
home/ghecht/Projects/hven/include/hven/detail/interior/utils/type_storage.h                        42                 9    78.57%          13                 1    92.31%          73                19    73.97%          22                12    45.45%
home/ghecht/Projects/hven/include/hven/detail/kkt/border_ops.h                                     31                 4    87.10%           3                 0   100.00%          43                14    67.44%          22                 8    63.64%
home/ghecht/Projects/hven/include/hven/detail/kkt/bordered_eqp.h                                   68                 0   100.00%           8                 0   100.00%         158                 0   100.00%          52                 4    92.31%
home/ghecht/Projects/hven/include/hven/detail/kkt/kkt_assembly.h                                   73                 1    98.63%           3                 0   100.00%         118                 4    96.61%          56                 2    96.43%
home/ghecht/Projects/hven/include/hven/detail/kkt/kkt_calls.h                                       3                 0   100.00%           2                 0   100.00%           9                 0   100.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/detail/kkt/schur_complement.h                               93                 4    95.70%          13                 0   100.00%         161                17    89.44%          62                 5    91.94%
home/ghecht/Projects/hven/include/hven/detail/linear/fault_injection.h                              2                 0   100.00%           2                 0   100.00%          36                 0   100.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/detail/linear/pardiso_session.h                             15                 0   100.00%          15                 0   100.00%          15                 0   100.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/detail/linear/session_id.h                                   1                 0   100.00%           1                 0   100.00%           4                 0   100.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/detail/linear/thread_scope.h                                 9                 0   100.00%           2                 0   100.00%          10                 0   100.00%           4                 0   100.00%
home/ghecht/Projects/hven/include/hven/detail/model/claim_restatement.h                            21                10    52.38%          18                 9    50.00%          40                24    40.00%           2                 1    50.00%
home/ghecht/Projects/hven/include/hven/detail/model/nlp_adapter.h                                 147                20    86.39%          43                11    74.42%         230                33    85.65%          82                16    80.49%
home/ghecht/Projects/hven/include/hven/detail/qp/eqp_solve.h                                       25                 0   100.00%           3                 0   100.00%          75                 0   100.00%          22                 1    95.45%
home/ghecht/Projects/hven/include/hven/detail/qp/ipqp_fault_injection.h                             4                 0   100.00%           4                 0   100.00%          37                 0   100.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/detail/qp/ipqp_kkt_layout.h                                 12                 0   100.00%          12                 0   100.00%          18                 0   100.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/detail/qp/ipqp_math.h                                      161                 1    99.38%          12                 0   100.00%         179                 2    98.88%         126                 7    94.44%
home/ghecht/Projects/hven/include/hven/detail/qp/qp_engine.h                                      110                 2    98.18%          22                 0   100.00%         155                 6    96.13%          66                 3    95.45%
home/ghecht/Projects/hven/include/hven/detail/qp/qp_problem.h                                      35                 6    82.86%           4                 0   100.00%          45                18    60.00%          22                 7    68.18%
home/ghecht/Projects/hven/include/hven/detail/qp/ssn_engine.h                                      34                 3    91.18%           8                 1    87.50%          31                 5    83.87%          20                 4    80.00%
home/ghecht/Projects/hven/include/hven/detail/qp/working_set.h                                     27                 0   100.00%          10                 0   100.00%          34                 0   100.00%          16                 1    93.75%
home/ghecht/Projects/hven/include/hven/detail/solvers/solver_interface_specs.h                     68                38    44.12%          62                38    38.71%         205               110    46.34%           0                 0         -
home/ghecht/Projects/hven/include/hven/detail/warmstart/mesh_transfer.h                           100                 1    99.00%           7                 0   100.00%         184                 3    98.37%          72                 3    95.83%
home/ghecht/Projects/hven/include/hven/detail/warmstart/predictor.h                               230                10    95.65%          13                 0   100.00%         531                22    95.86%         194                23    88.14%
home/ghecht/Projects/hven/include/hven/detail/warmstart/warm_start.h                               10                 0   100.00%           1                 0   100.00%          18                 0   100.00%           6                 0   100.00%
home/ghecht/Projects/hven/include/hven/drivers/console_trace_sink.h                                 4                 1    75.00%           4                 1    75.00%           4                 1    75.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/drivers/ipm_solver.h                                        37                 4    89.19%           9                 3    66.67%          57                 9    84.21%          32                10    68.75%
home/ghecht/Projects/hven/include/hven/drivers/ipm_solver_types.h                                   1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/drivers/solve_result.h                                       1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/drivers/sqp_solver.h                                        22                 1    95.45%           6                 0   100.00%          28                 4    85.71%          12                 3    75.00%
home/ghecht/Projects/hven/include/hven/drivers/trace_writer.h                                       3                 0   100.00%           3                 0   100.00%           3                 0   100.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/linear/symmetric_factor.h                                    2                 0   100.00%           2                 0   100.00%           6                 0   100.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/model/assembly_declaration.h                                 5                 0   100.00%           1                 0   100.00%           1                 0   100.00%           3                 0   100.00%
home/ghecht/Projects/hven/include/hven/model/candidate_point.h                                     68                 2    97.06%          13                 0   100.00%         137                10    92.70%          50                 2    96.00%
home/ghecht/Projects/hven/include/hven/model/claim_space.h                                         85                 9    89.41%          29                 4    86.21%         105                22    79.05%          42                10    76.19%
home/ghecht/Projects/hven/include/hven/model/claim_stream_source.h                                  4                 1    75.00%           2                 1    50.00%           2                 1    50.00%           2                 0   100.00%
home/ghecht/Projects/hven/include/hven/model/nlp_assembly.h                                        64                 6    90.62%          19                 1    94.74%         131                11    91.60%          38                 6    84.21%
home/ghecht/Projects/hven/include/hven/model/nlp_model.h                                           14                 0   100.00%           8                 0   100.00%          20                 0   100.00%           4                 0   100.00%
home/ghecht/Projects/hven/include/hven/model/nlp_model_assembly.h                                  15                 0   100.00%          15                 0   100.00%          27                 0   100.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/model/nlp_problem_model.h                                    9                 2    77.78%           9                 2    77.78%           9                 2    77.78%           0                 0         -
home/ghecht/Projects/hven/include/hven/model/nlp_triplet_model.h                                    3                 0   100.00%           3                 0   100.00%           6                 0   100.00%           0                 0         -
home/ghecht/Projects/hven/include/hven/model/non_linear_program.h                                  94                55    41.49%          81                53    34.57%         300               227    24.33%          10                 3    70.00%
home/ghecht/Projects/hven/include/hven/model/structure_identity.h                                  40                 0   100.00%          17                 0   100.00%          71                 0   100.00%          21                 2    90.48%
home/ghecht/Projects/hven/include/hven/warmstart/ipm_polish_extension.h                             7                 0   100.00%           1                 0   100.00%           1                 0   100.00%           4                 0   100.00%
home/ghecht/Projects/hven/include/hven/warmstart/warm_start_data.h                                 14                 0   100.00%           2                 0   100.00%           2                 0   100.00%           8                 0   100.00%
